date,bank_name,bank_name_raw,bank_category,source,low_coverage,dc_outstanding,atm_onsite,atm_offsite,pos_terminals,micro_atm,bharat_qr,upi_qr,dc_pos_vol,dc_online_vol,dc_others_vol,dc_atm_cash_vol
2011-04-01,Allahabad Bank,Allahabad Bank,,xls_monthly,False,974228.0,165.0,76.0,0.0,,,,46016.0,,,449385.0
2011-04-01,American Express Bkg. Corp.,American Express Bkg. Corp.,,xls_monthly,False,0.0,0.0,0.0,15760.0,,,,0.0,,,0.0
2011-04-01,Andhra Bank,Andhra Bank,,xls_monthly,False,6164517.0,455.0,530.0,2113.0,,,,259174.0,,,6608419.0
2011-04-01,Axis Bank,Axis Bank Ltd.,,xls_monthly,False,10165381.0,1745.0,4595.0,186708.0,,,,1980268.0,,,39149622.0
2011-04-01,Bank of Baroda,Bank of Baroda,,xls_monthly,False,6313713.0,1018.0,561.0,4537.0,,,,329175.0,,,6074724.0
2011-04-01,Bank of India,Bank of India,,xls_monthly,False,6874195.0,760.0,690.0,2581.0,,,,346339.0,,,1877971.0
2011-04-01,Bank of Maharashtra,Bank of Maharashtra,,xls_monthly,False,1928579.0,317.0,101.0,481.0,,,,112523.0,,,1907045.0
2011-04-01,Barclays Bank,Barclays Bank,,xls_monthly,False,27373.0,7.0,29.0,0.0,,,,15824.0,,,42836.0
2011-04-01,Canara Bank,Canara Bank,,xls_monthly,False,5997718.0,1524.0,758.0,1220.0,,,,415101.0,,,6278829.0
2011-04-01,Catholic Syrian Bank Ltd.,Catholic Syrian Bank Ltd.,,xls_monthly,False,274684.0,105.0,54.0,0.0,,,,7914.0,,,148217.0
2011-04-01,Central Bank of India,Central Bank of India,,xls_monthly,False,2622639.0,402.0,636.0,729.0,,,,52467.0,,,5440739.0
2011-04-01,Citi Bank,Citibank,,xls_monthly,False,2037708.0,58.0,599.0,10355.0,,,,1149124.0,,,3096582.0
2011-04-01,City Union Bank,City Union Bank Ltd,,xls_monthly,False,455442.0,189.0,62.0,0.0,,,,42543.0,,,978220.0
2011-04-01,Corporation Bank,Corporation Bank,,xls_monthly,False,4164618.0,688.0,507.0,17178.0,,,,233084.0,,,3878726.0
2011-04-01,Dbs Ltd.,DBS Ltd.,,xls_monthly,False,1167.0,4.0,26.0,0.0,,,,1220.0,,,15788.0
2011-04-01,Dena Bank,Dena Bank,,xls_monthly,False,1270666.0,398.0,106.0,0.0,,,,58602.0,,,1580566.0
2011-04-01,Deutsche Bank,Deutsche Bank,,xls_monthly,False,99232.0,14.0,47.0,60.0,,,,74624.0,,,193743.0
2011-04-01,Development Credit Bank Ltd.,Development Credit Bank Ltd.,,xls_monthly,False,307327.0,78.0,59.0,1059.0,,,,25675.0,,,383288.0
