date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,0.0,0.0,0.0,1437881.0612363163,American Express,cc
2025-07-01,0.0,0.0,0.0,1433773.7865503095,American Express,cc
2025-08-01,0.0,0.0,0.0,1429529.6027081022,American Express,cc
2025-09-01,0.0,0.0,0.0,1425285.418865895,American Express,cc
2025-10-01,0.0,0.0,0.0,1421178.1441798878,American Express,cc
2025-11-01,0.0,0.0,0.0,1416933.9603376808,American Express,cc
2025-12-01,0.0,0.0,0.0,1412826.6856516737,American Express,cc
2026-01-01,0.0,0.0,0.0,1408582.5018094666,American Express,cc
2026-02-01,0.0,0.0,0.0,1404338.317967259,American Express,cc
2026-03-01,0.0,0.0,0.0,1400504.8615936527,American Express,cc
2026-04-01,0.0,0.0,0.0,1396260.6777514454,American Express,cc
2026-05-01,0.0,0.0,0.0,1392153.4030654384,American Express,cc
