date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2020-04-01,342828.0964352097,328531.9787557613,356864.39817480894,339336.732430461,Andhra Bank,cc
2020-05-01,0.0,0.0,0.0,343811.7886270928,Andhra Bank,cc
2020-06-01,0.0,0.0,0.0,348436.01336361223,Andhra Bank,cc
2020-07-01,0.0,0.0,0.0,352911.069560244,Andhra Bank,cc
2020-08-01,0.0,0.0,0.0,357535.2942967634,Andhra Bank,cc
2020-09-01,0.0,0.0,0.0,362159.5190332829,Andhra Bank,cc
2020-10-01,0.0,0.0,0.0,366634.57522991457,Andhra Bank,cc
2020-11-01,0.0,0.0,0.0,371258.7999664341,Andhra Bank,cc
2020-12-01,0.0,0.0,0.0,375733.8561630659,Andhra Bank,cc
2021-01-01,0.0,0.0,0.0,380358.08089958533,Andhra Bank,cc
2021-02-01,0.0,0.0,0.0,384982.30563610484,Andhra Bank,cc
2021-03-01,0.0,0.0,0.0,389159.02475296106,Andhra Bank,cc
