date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,1195064.444138815,1076517.120340224,1320839.7618920435,1205389.4631464102,AU Small Finance Bank,cc
2025-07-01,1213063.5608123676,1087952.7596990184,1333667.0227514128,1229284.022014375,AU Small Finance Bank,cc
2025-08-01,1234351.5780047239,1110632.820491362,1346961.355738675,1253975.0661779388,AU Small Finance Bank,cc
2025-09-01,1253134.5258558772,1123251.6038901492,1383312.9974438902,1278666.1103415024,AU Small Finance Bank,cc
2025-10-01,1270292.997236816,1147249.795431907,1389086.45723547,1302560.6692094672,AU Small Finance Bank,cc
2025-11-01,1328065.4264128406,1209090.3497304108,1447642.4673054717,1327251.7133730308,AU Small Finance Bank,cc
2025-12-01,1343482.9361859336,1222799.8046918248,1460652.3626508818,1351146.2722409957,AU Small Finance Bank,cc
2026-01-01,1359673.303610591,1245647.0576330256,1481891.4704011353,1375837.3164045594,AU Small Finance Bank,cc
2026-02-01,1375247.5500855963,1262779.9451390659,1495210.72360698,1400528.3605681232,AU Small Finance Bank,cc
2026-03-01,1387605.6511010278,1277217.7987331687,1508244.009754503,1422829.9488448903,AU Small Finance Bank,cc
2026-04-01,1410319.0831379811,1285999.1830606696,1527006.9898882532,1447520.9930084539,AU Small Finance Bank,cc
2026-05-01,1433550.1210198393,1314688.1628986385,1551627.8287675164,1471415.551876419,AU Small Finance Bank,cc
