date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,15128551.276724314,15074383.76109103,15221653.035219269,15128551.276724314,Axis Bank,cc
2025-07-01,15235770.610936513,14701114.618668621,15447158.164110195,15235770.610936513,Axis Bank,cc
2025-08-01,15409500.608289659,14611728.20851096,16343992.273349646,15409500.608289659,Axis Bank,cc
2025-09-01,15589064.803640014,14626855.821256591,16649572.726173272,15589064.803640014,Axis Bank,cc
2025-10-01,15689262.788627613,14568490.03227992,16874725.72231512,15689262.788627613,Axis Bank,cc
2025-11-01,15957639.781318212,14673592.862926658,17245967.46041833,15957639.781318212,Axis Bank,cc
2025-12-01,16241810.848383203,14829550.85249704,17713929.145496987,16241810.848383203,Axis Bank,cc
2026-01-01,16411101.857521454,14738540.28548411,18101368.33401382,16411101.857521454,Axis Bank,cc
2026-02-01,16497103.932791287,15460415.303238446,18383650.2767794,16497103.932791287,Axis Bank,cc
2026-03-01,17010976.778872382,15750897.266558528,19056748.227380604,17010976.778872382,Axis Bank,cc
2026-04-01,17201356.11814343,15737037.865057305,19421067.73212783,17201356.11814343,Axis Bank,cc
2026-05-01,17219047.940534998,15566878.088782853,19599129.568827823,17219047.940534998,Axis Bank,cc
2026-06-01,17296520.767903786,15509149.612122165,19856149.165185176,17296520.767903786,Axis Bank,cc
2026-07-01,17419104.97254018,15355866.66436769,19473725.12498264,17419104.97254018,Axis Bank,cc
2026-08-01,17617731.029150948,15468660.488024196,19868005.13440027,17617731.029150948,Axis Bank,cc
2026-09-01,17823027.342823535,15529343.625708887,20194105.055648014,17823027.342823535,Axis Bank,cc
2026-10-01,17937584.016637165,15384762.103746846,20535137.633896127,17937584.016637165,Axis Bank,cc
2026-11-01,18244420.283000823,15439947.087412529,21050112.396953627,18244420.283000823,Axis Bank,cc
2026-12-01,18569313.964656085,15640792.47630081,21570611.487762142,18569313.964656085,Axis Bank,cc
2027-01-01,18762864.91197139,15693459.770070942,21114594.865833912,18762864.91197139,Axis Bank,cc
2027-02-01,18861191.357210916,15414808.138096513,22257276.74333395,18861191.357210916,Axis Bank,cc
2027-03-01,19448703.810854618,15714735.123268971,22810070.23990902,19448703.810854618,Axis Bank,cc
2027-04-01,19666365.112850253,15709442.056150924,22941953.938864406,19666365.112850253,Axis Bank,cc
2027-05-01,19686592.229464803,15515059.722226322,22878588.823039994,19686592.229464803,Axis Bank,cc
