date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,8698536.84458836,8643136.914218059,8808266.044558188,8861932.827466078,Bank of Baroda,cc
2025-07-01,8773834.004737014,8698469.324505322,8950743.929613775,8975224.300633704,Bank of Baroda,cc
2025-08-01,9125161.277065797,9069877.73081164,9393326.430876778,9090321.342212416,Bank of Baroda,cc
2025-09-01,9346164.463575171,9242547.728019886,9666562.425098885,9203400.578730784,Bank of Baroda,cc
2025-10-01,9369767.040373918,9203364.135843802,9658031.6830992,9310900.01997612,Bank of Baroda,cc
2025-11-01,9423781.946560644,9161968.61372828,9742634.75431142,9419978.17977775,Bank of Baroda,cc
2025-12-01,9262953.164835751,8989769.663847394,9582593.909275267,9523592.79818486,Bank of Baroda,cc
2026-01-01,9649760.901141955,9343974.574024795,9993453.639691425,9628649.12531578,Bank of Baroda,cc
2026-02-01,9878111.298608726,9547964.357297797,10295155.26293039,9731660.636275474,Bank of Baroda,cc
2026-03-01,10030937.902530182,9631524.809518823,10465002.21145842,9822948.070860775,Bank of Baroda,cc
2026-04-01,9956669.365382824,9470941.203046517,10392260.275642775,9922077.837172078,Bank of Baroda,cc
2026-05-01,10172027.816635888,9564264.490613153,10593839.93031649,10016077.162705733,Bank of Baroda,cc
2026-06-01,9998153.772931553,9240657.571475882,10448761.503893193,10111222.015072307,Bank of Baroda,cc
2026-07-01,10195495.512943706,9277525.037230853,10674591.293504061,10201384.84605078,Bank of Baroda,cc
2026-08-01,10333523.208216857,9316584.387326349,10857666.355270391,10292589.662530867,Bank of Baroda,cc
2026-09-01,10367198.562812073,9201933.420424037,10919236.79208041,10381813.971156552,Bank of Baroda,cc
2026-10-01,10541432.1008069,9232556.783688784,11076058.59616119,10466290.306244675,Bank of Baroda,cc
2026-11-01,10411754.305803826,8945708.857802698,10959874.583820505,10551668.37629075,Bank of Baroda,cc
2026-12-01,10440383.470992606,8989048.893656561,10938012.562128922,10632458.403519874,Bank of Baroda,cc
2027-01-01,10858314.891304793,9317725.48129297,11297626.554150464,10714066.948502913,Bank of Baroda,cc
2027-02-01,11022850.223578239,9440351.30393964,11468076.91464624,10793792.346981421,Bank of Baroda,cc
2027-03-01,11052286.361176608,9418220.655663986,11472583.877774183,10864203.208833952,Bank of Baroda,cc
2027-04-01,10672152.339716306,8800569.342084467,11084814.099364586,10940409.973336516,Bank of Baroda,cc
2027-05-01,11253508.92358826,9094257.21591333,11683074.412895137,11012432.32673141,Bank of Baroda,cc
