date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,-16438.91642692748,-100147.53670327546,65781.91780678435,-10178.710993175353,Bank Of India,cc
2025-07-01,10155.726327408887,-67241.50678717605,88238.87488519178,-13584.786054209864,Bank Of India,cc
2025-08-01,-27517.803431476375,-110678.929782134,56358.829024952276,-17104.396950612125,Bank Of India,cc
2025-09-01,-27240.12510564919,-110298.09468053277,52960.69861005011,-20624.00784701439,Bank Of India,cc
2025-10-01,-24229.533818000793,-105343.86324988185,60268.666700409136,-24030.08290804876,Bank Of India,cc
2025-11-01,-13075.596468422738,-97823.77696449032,68831.18157460555,-27549.69380445102,Bank Of India,cc
2025-12-01,-18301.996001023253,-97124.88716454133,61960.131467168954,-30955.768865485534,Bank Of India,cc
2026-01-01,-46962.390815860796,-125172.73052565787,29320.388801402674,-34475.379761887794,Bank Of India,cc
2026-02-01,-69199.90860776958,-148490.41268373825,10073.995530971586,-37994.99065829006,Bank Of India,cc
2026-03-01,-28888.229921351965,-104848.56016523809,51901.38357548586,-41173.99404858886,Bank Of India,cc
2026-04-01,-68901.55326132628,-148430.48563824996,17115.425840180993,-44693.604944991115,Bank Of India,cc
2026-05-01,-64209.35610690576,-148196.86723656786,13291.611386415478,-48099.680006025555,Bank Of India,cc
