date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,1014574.3335740975,961183.9296361182,1070299.7145131151,1016697.2277504981,Canara Bank,cc
2025-07-01,1032087.980839393,960567.2306999807,1114454.9992461512,1026240.8211561441,Canara Bank,cc
2025-08-01,999771.9230761509,874308.7915592972,1134595.312344182,1036196.6573949553,Canara Bank,cc
2025-09-01,1103485.7876663879,904356.0956768134,1344363.4887284338,1046249.0777654754,Canara Bank,cc
2025-10-01,1099364.7833640077,842492.6479103477,1438225.4762343476,1056070.0699441591,Canara Bank,cc
2025-11-01,1108927.0746330991,780419.5824272268,1565468.415910415,1066315.28740866,Canara Bank,cc
2025-12-01,1087147.3731043567,732679.1975905673,1615720.0271049687,1076324.6380803594,Canara Bank,cc
2026-01-01,1125502.0782991345,658027.6810048537,1903325.746697612,1086766.3503273714,Canara Bank,cc
2026-02-01,1111210.0893448647,607254.0390792395,2067555.8289237781,1097309.3603143909,Canara Bank,cc
2026-03-01,1067419.009433311,551642.4058950597,2070822.5326581544,1106919.9638069626,Canara Bank,cc
2026-04-01,1094714.8604602874,465543.4064424533,2597519.1536386283,1117658.489189368,Canara Bank,cc
2026-05-01,1095456.3646117859,416553.2957928324,2921972.112834239,1128149.7907768483,Canara Bank,cc
2026-06-01,1154034.8844073853,367208.2727531467,3465902.020859886,1139094.2721789104,Canara Bank,cc
2026-07-01,1177137.3940704884,332231.19255889766,4083974.472272289,1149786.788238491,Canara Bank,cc
2026-08-01,1098385.9911275413,257924.9571983511,4829938.718706884,1160941.175726024,Canara Bank,cc
2026-09-01,1245106.0208208591,261452.03171054367,6196974.767710378,1172203.7747996426,Canara Bank,cc
2026-10-01,1236119.3585701876,227244.79927282006,7185958.786369333,1183207.084782386,Canara Bank,cc
2026-11-01,1240247.47657996,201789.16006043085,8383100.959095295,1194685.6911748443,Canara Bank,cc
2026-12-01,1206252.8168572288,202230.77882846125,8085971.574950929,1205900.0355265012,Canara Bank,cc
2027-01-01,1281276.9372243148,156008.41421741663,11489956.060853228,1217598.7920792128,Canara Bank,cc
2027-02-01,1227935.5206475444,125655.7214615291,13389526.11240259,1229411.041282519,Canara Bank,cc
2027-03-01,1176601.6077665507,140556.6384568151,10818244.363661975,1240178.634558841,Canara Bank,cc
2027-04-01,1226246.6015932958,97809.32404099671,16952099.291615028,1252209.9366299908,Canara Bank,cc
2027-05-01,1226310.8665783335,76063.8746560037,20662583.590136774,1263964.2524250972,Canara Bank,cc
