date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,0.0,0.0,0.0,126640.47647173941,Citibank,cc
2025-07-01,0.0,0.0,0.0,84427.65259798591,Citibank,cc
2025-08-01,0.0,0.0,0.0,40807.73459510837,Citibank,cc
2025-09-01,0.0,0.0,0.0,-2812.1834077704166,Citibank,cc
2025-10-01,0.0,0.0,0.0,-45025.00728152392,Citibank,cc
2025-11-01,0.0,0.0,0.0,-88644.92528440146,Citibank,cc
2025-12-01,0.0,0.0,0.0,-130857.74915815497,Citibank,cc
2026-01-01,0.0,0.0,0.0,-174477.66716103375,Citibank,cc
2026-02-01,0.0,0.0,0.0,-218097.58516391378,Citibank,cc
2026-03-01,0.0,0.0,0.0,-257496.22077941548,Citibank,cc
2026-04-01,0.0,0.0,0.0,-301116.13878229423,Citibank,cc
2026-05-01,0.0,0.0,0.0,-343328.9626560478,Citibank,cc
