date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,1232158.3671837575,1215298.8894825364,1248508.7187097983,1236701.4100811253,Federal Bank,cc
2025-07-01,1247988.0758242582,1230028.233860451,1266937.6811677604,1256047.1615618719,Federal Bank,cc
2025-08-01,1261847.07088608,1243781.1660044582,1280245.286320665,1276037.7714253094,Federal Bank,cc
2025-09-01,1280862.569168431,1259057.9257506009,1300157.514964421,1296028.3812887473,Federal Bank,cc
2025-10-01,1298841.3518715724,1273911.8939990245,1321848.6149636148,1315374.1327694934,Federal Bank,cc
2025-11-01,1317889.5484670775,1291292.546533612,1345183.197235467,1335364.742632931,Federal Bank,cc
2025-12-01,1352934.2278739314,1322232.9613030658,1385697.9141819554,1354710.4941136772,Federal Bank,cc
2026-01-01,1374953.621575328,1337361.1612569937,1413014.5022674752,1374701.1039771151,Federal Bank,cc
2026-02-01,1397540.5791631343,1353601.6410844203,1441654.0126620722,1394691.7138405526,Federal Bank,cc
2026-03-01,1414321.1696951424,1366229.6421151909,1462543.1685324595,1412747.7485559157,Federal Bank,cc
2026-04-01,1439629.4130056167,1381832.7060059651,1492240.6485038162,1432738.3584193536,Federal Bank,cc
2026-05-01,1468507.2504592605,1406170.5044284898,1531694.8118274692,1452084.1099000997,Federal Bank,cc
