date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,22813486.122105632,22666555.153749034,22912939.691136327,23190681.94760052,HDFC Bank,cc
2025-07-01,23046446.272466823,21469684.46607172,23134187.711519886,23371595.9711698,HDFC Bank,cc
2025-08-01,22878769.072657306,20821269.626404643,23167346.82974453,23560023.27907522,HDFC Bank,cc
2025-09-01,23214980.426794805,20954011.591683634,23835912.200829376,23749969.732223913,HDFC Bank,cc
2025-10-01,23555327.997310054,21059037.671776857,24414659.319974218,23935246.844352417,HDFC Bank,cc
2025-11-01,23881678.498964757,21150551.244069047,24930242.851074774,24128218.438074738,HDFC Bank,cc
2025-12-01,24444736.156358246,21468084.898853462,25564874.294324245,24316446.32554013,HDFC Bank,cc
2026-01-01,24375057.185024325,20824485.141990848,25599474.871857148,24512491.2390746,HDFC Bank,cc
2026-02-01,24520455.08690473,20744403.822671965,26040839.026869796,24710116.712779325,HDFC Bank,cc
2026-03-01,24966219.842148237,21111796.88135979,26840307.69034433,24889986.263195205,HDFC Bank,cc
2026-04-01,24783202.99368696,20729501.58990534,27018493.301455826,25090655.19050862,HDFC Bank,cc
2026-05-01,25023698.359494764,20732442.77890423,27624446.053289264,25286391.19257794,HDFC Bank,cc
2026-06-01,25143665.605350953,20475447.29753091,28004808.575032808,25490256.02960065,HDFC Bank,cc
2026-07-01,25420894.68104929,20212994.661172926,27383214.54106679,25689109.378226135,HDFC Bank,cc
2026-08-01,25075227.78152193,19600073.480722964,27161728.49485368,25896221.023914076,HDFC Bank,cc
2026-09-01,25434020.16984635,19762633.77006555,27763180.28644047,26105002.452367965,HDFC Bank,cc
2026-10-01,25840836.336988192,19794788.16927929,28419107.345077794,26308651.53077281,HDFC Bank,cc
2026-11-01,26205832.60796303,19849357.4861924,28998743.360690445,26520758.070908252,HDFC Bank,cc
2026-12-01,26955043.20405991,20162044.02217173,29986668.4290692,26727650.52174606,HDFC Bank,cc
2027-01-01,26879780.42081419,19707617.140518025,29920707.21116547,26943135.130225714,HDFC Bank,cc
2027-02-01,27152072.14910454,19749588.399135176,30473344.75939641,27160357.026265275,HDFC Bank,cc
2027-03-01,27377062.286276627,19761527.63702796,30896619.01799711,27358062.332411673,HDFC Bank,cc
2027-04-01,27123177.60425552,19287542.873567577,30762328.435167298,27578629.46907733,HDFC Bank,cc
2027-05-01,27450248.24375241,19265844.954791825,31325303.348917965,27793774.534617953,HDFC Bank,cc
