date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,655963.0780504689,485109.3168269985,727162.1076380142,727937.6056027431,HSBC,cc
2025-07-01,648442.1214109432,443080.7663610674,742567.1342372795,724061.2128914424,HSBC,cc
2025-08-01,639568.0199080864,230907.62021090236,947250.9768316519,720077.2918226824,HSBC,cc
2025-09-01,631990.8859197961,463967.0089796777,697221.5754359766,716115.2910071805,HSBC,cc
2025-10-01,631404.9496414699,438973.2629095497,705907.430803221,712301.8540640945,HSBC,cc
2025-11-01,626784.5303248678,314140.84526291455,891224.3583051454,708382.635111468,HSBC,cc
2025-12-01,724724.7343173567,487163.7729109057,792889.3989526645,704610.3758318875,HSBC,cc
2026-01-01,617816.7212993162,338911.07801835757,701880.6423405057,700733.4767816585,HSBC,cc
2026-02-01,619169.8131756955,105478.14757195808,1197124.9309435873,696877.9091302147,HSBC,cc
2026-03-01,681162.2488981833,351516.35238628974,794312.3761574136,693413.6980810914,HSBC,cc
2026-04-01,630538.8909026397,273597.198474785,751934.1078569475,689598.4051740891,HSBC,cc
2026-05-01,623539.7248651796,118973.76928636868,1037181.4788548348,685926.1750061057,HSBC,cc
2026-06-01,606891.0896519241,140534.92134728748,762950.8089091901,682152.0798033893,HSBC,cc
2026-07-01,598304.193490937,75512.14900060283,765851.5778750712,678519.5025418047,HSBC,cc
2026-08-01,604573.8330147228,0.0,1323481.7851693248,674786.1601887115,HSBC,cc
2026-09-01,605349.7112086857,93292.93632779387,810161.3369518814,671073.359359527,HSBC,cc
2026-10-01,609066.7268554898,63764.12154544622,828838.6738225577,667499.7781050912,HSBC,cc
2026-11-01,613502.9422516412,0.0,1043504.8312844173,663827.0682661285,HSBC,cc
2026-12-01,630425.5740095478,35329.01945462846,891955.7868836494,660292.0747026906,HSBC,cc
2027-01-01,603400.2808367532,0.0,883930.0453094116,656659.0229496369,HSBC,cc
2027-02-01,602264.9807985165,0.0,1366075.984126649,653045.9609034979,HSBC,cc
2027-03-01,597715.446743544,0.0,914956.9005331498,649799.6401038326,HSBC,cc
2027-04-01,600044.2207785386,0.0,933979.089626723,646224.3196209895,HSBC,cc
2027-05-01,581518.7464769102,0.0,1040697.9023336892,642783.0635870916,HSBC,cc
