date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,18245412.02392701,18182706.149936795,18290769.635782942,18245412.02392701,ICICI Bank,cc
2025-07-01,18328928.382574912,18226821.006243855,18456310.159523964,18328928.382574912,ICICI Bank,cc
2025-08-01,18360019.829743672,17649039.279261418,19002465.138133228,18360019.829743672,ICICI Bank,cc
2025-09-01,18413574.83351532,17595760.1337758,19301046.25754802,18413574.83351532,ICICI Bank,cc
2025-10-01,18528710.25905349,17334949.80186678,19574008.96748091,18528710.25905349,ICICI Bank,cc
2025-11-01,18656354.689360097,17186061.56800859,19888045.13479793,18656354.689360097,ICICI Bank,cc
2025-12-01,18869982.529318713,17155387.79642773,20299488.565252848,18869982.529318713,ICICI Bank,cc
2026-01-01,19096072.654275928,17177860.853222467,20833688.677522637,19096072.654275928,ICICI Bank,cc
2026-02-01,19191059.211638052,17491571.115124825,21241652.47173287,19191059.211638052,ICICI Bank,cc
2026-03-01,19328991.163348507,17594551.47937523,21680372.374127086,19328991.163348507,ICICI Bank,cc
2026-04-01,19244944.83176181,17369866.053088374,21747662.612465076,19244944.83176181,ICICI Bank,cc
2026-05-01,19290020.044203263,17290654.26949746,21979199.107940044,19290020.044203263,ICICI Bank,cc
2026-06-01,19265715.931474876,17133896.97666074,22174937.433153242,19265715.931474876,ICICI Bank,cc
2026-07-01,19353902.6183286,17153143.809455134,22369795.59999049,19353902.6183286,ICICI Bank,cc
2026-08-01,19386732.734005287,17067141.40261241,22532004.919216976,19386732.734005287,ICICI Bank,cc
2026-09-01,19443282.593500145,17037772.71779333,22801517.86522054,19443282.593500145,ICICI Bank,cc
2026-10-01,19564856.520837013,16905198.851050377,23046137.04734601,19564856.520837013,ICICI Bank,cc
2026-11-01,19699638.97048293,16850351.08722138,23415844.832886633,19699638.97048293,ICICI Bank,cc
2026-12-01,19925213.118238743,16916767.99169121,23801357.423736144,19925213.118238743,ICICI Bank,cc
2027-01-01,20163946.455911975,16963609.780086882,24226497.57835287,20163946.455911975,ICICI Bank,cc
2027-02-01,20264244.767823808,16870028.759975456,24396130.085322917,20264244.767823808,ICICI Bank,cc
2027-03-01,20409890.028579116,16900667.809320696,24690526.837564394,20409890.028579116,ICICI Bank,cc
2027-04-01,20321143.73210697,16543607.372454457,24668085.816986956,20321143.73210697,ICICI Bank,cc
2027-05-01,20368739.600854125,16346836.827773593,24821560.891474135,20368739.600854125,ICICI Bank,cc
