date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,377576.1540186253,159342.66812669978,618870.2188604248,247285.59949929614,Indian Bank,cc
2025-07-01,434818.72957377176,207659.4079389522,642528.8191394336,249320.43018202027,Indian Bank,cc
2025-08-01,179853.4281160566,-37971.24538709928,392597.7289899502,251423.08855416853,Indian Bank,cc
2025-09-01,197095.97495143063,-18126.8582085846,414722.4213227852,253525.74692631682,Indian Bank,cc
2025-10-01,205363.02395097585,4698.877980740068,420493.14037382003,255560.57760904092,Indian Bank,cc
2025-11-01,237399.27388328582,2070.9181782243813,458125.99813228066,257663.23598118918,Indian Bank,cc
2025-12-01,323694.923075943,101924.90038706418,545628.8208675862,259698.06666391334,Indian Bank,cc
2026-01-01,370308.24383385363,152182.60311139768,589271.9746292548,261800.72503606163,Indian Bank,cc
2026-02-01,167146.16016906901,-67169.61452451181,381844.79788714554,263903.3834082099,Indian Bank,cc
2026-03-01,301641.21703180054,75828.81931347866,517816.99457366695,265802.5587120857,Indian Bank,cc
2026-04-01,186265.3941611015,-41578.4801410828,426105.21683427464,267905.217084234,Indian Bank,cc
2026-05-01,232080.29294725726,34000.35844004941,464137.6425244505,269940.04776695813,Indian Bank,cc
