date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,3216396.107500224,3140820.14366195,3230728.2432585848,3216396.107500224,IndusInd Bank,cc
2025-07-01,3235471.0001120623,3128234.320387296,3265404.3765026573,3235471.0001120623,IndusInd Bank,cc
2025-08-01,3267277.3148510796,3157611.572997286,3309368.629716726,3267277.3148510796,IndusInd Bank,cc
2025-09-01,3304786.126111682,3188918.102052519,3363234.04158681,3304786.126111682,IndusInd Bank,cc
2025-10-01,3335565.506422501,3201240.564068407,3417487.2172566783,3335565.506422501,IndusInd Bank,cc
2025-11-01,3365135.537736602,3217613.818358826,3479627.353294548,3365135.537736602,IndusInd Bank,cc
2025-12-01,3407011.7462758156,3250751.9962004367,3521954.54896073,3407011.7462758156,IndusInd Bank,cc
2026-01-01,3440679.754358092,3285144.2005757736,3579455.4403343094,3440679.754358092,IndusInd Bank,cc
2026-02-01,3484034.6846782938,3320867.119731643,3639260.618634515,3484034.6846782938,IndusInd Bank,cc
2026-03-01,3531782.1363055822,3337962.9472007887,3716235.255932223,3531782.1363055822,IndusInd Bank,cc
2026-04-01,3561901.605402771,3339480.804780882,3776879.6520027462,3561901.605402771,IndusInd Bank,cc
2026-05-01,3593193.17417383,3356874.336135005,3846085.392417161,3593193.17417383,IndusInd Bank,cc
2026-06-01,3623741.1851004716,3373944.255060426,3769876.7311624563,3623741.1851004716,IndusInd Bank,cc
2026-07-01,3645231.8439723426,3389360.721846697,3793318.492232297,3645231.8439723426,IndusInd Bank,cc
2026-08-01,3681066.3136040904,3408664.083438831,3838628.230007951,3681066.3136040904,IndusInd Bank,cc
2026-09-01,3723325.4803472343,3440294.3353333087,3893898.396103982,3723325.4803472343,IndusInd Bank,cc
2026-10-01,3758002.958014241,3452287.889523145,3952551.304291841,3758002.958014241,IndusInd Bank,cc
2026-11-01,3791317.9270016775,3455580.4723098376,4000363.018237242,3791317.9270016775,IndusInd Bank,cc
2026-12-01,3838497.6061158497,3489667.2082603527,4063113.4273079187,3838497.6061158497,IndusInd Bank,cc
2027-01-01,3876429.545829255,3490472.753819498,4108797.7640465675,3876429.545829255,IndusInd Bank,cc
2027-02-01,3925275.221497546,3520654.1474302234,4148304.5082296813,3925275.221497546,IndusInd Bank,cc
2027-03-01,3979069.7154328255,3554126.092718514,4205740.391459952,3979069.7154328255,IndusInd Bank,cc
2027-04-01,4013003.7065142677,3567420.446095015,4253344.673954418,4013003.7065142677,IndusInd Bank,cc
2027-05-01,4048258.2394602285,3570987.141217361,4330464.747307523,4048258.2394602285,IndusInd Bank,cc
