date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,99309.46782646513,8516.66968938018,185580.4722589285,115749.78908454523,Jammu and Kashmir Bank,cc
2025-07-01,88575.75331224718,-7106.09653186371,178989.85950769263,115667.54376573322,Jammu and Kashmir Bank,cc
2025-08-01,91937.87806273278,-5304.280955882035,186410.52044124925,115582.5569362941,Jammu and Kashmir Bank,cc
2025-09-01,92785.69193021784,-4023.1440960098594,194516.39768428428,115497.57010685501,Jammu and Kashmir Bank,cc
2025-10-01,99788.3790320698,3391.362952056277,199671.15093516276,115415.324788043,Jammu and Kashmir Bank,cc
2025-11-01,105764.6823151319,5699.002545839755,202515.60757445492,115330.33795860391,Jammu and Kashmir Bank,cc
2025-12-01,104435.70004068255,7644.759291716918,198615.40641120184,115248.0926397919,Jammu and Kashmir Bank,cc
2026-01-01,106121.21686981816,9560.25249913539,208469.8838626909,115163.1058103528,Jammu and Kashmir Bank,cc
2026-02-01,36003.49367647614,-56021.111909820065,132861.39728659828,115078.11898091373,Jammu and Kashmir Bank,cc
2026-03-01,91923.18321773307,-11428.036416998522,190853.3285534581,115001.35668335583,Jammu and Kashmir Bank,cc
2026-04-01,99054.96302035498,-1358.8300056950604,202712.72498974646,114916.36985391674,Jammu and Kashmir Bank,cc
2026-05-01,105744.36288539329,4792.321497792732,199666.47788529357,114834.12453510473,Jammu and Kashmir Bank,cc
