date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,7002401.684380696,5595069.3427045755,9083376.504960718,6920195.482128875,Kotak Mahindra Bank,cc
2025-07-01,7129078.905559881,5606102.784156401,8995405.163012542,7047339.896294597,Kotak Mahindra Bank,cc
2025-08-01,7327475.2037817575,5688801.423687603,9216213.27494793,7181177.07284472,Kotak Mahindra Bank,cc
2025-09-01,7383802.346913353,5841373.678884122,9382272.006017989,7317555.972590927,Kotak Mahindra Bank,cc
2025-10-01,7493816.313429961,5868832.793536824,9473616.235181263,7452001.070617702,Kotak Mahindra Bank,cc
2025-11-01,7542341.615246137,5928904.722470135,9539215.296957264,7593523.232161149,Kotak Mahindra Bank,cc
2025-12-01,7351764.798263389,5823647.4178774925,9392908.869101899,7733038.66245921,Kotak Mahindra Bank,cc
2026-01-01,7756465.628960775,6163144.9896566635,9909163.641261963,7879898.053796138,Kotak Mahindra Bank,cc
2026-02-01,7827708.1704387,6206572.887970952,9941995.386918832,8029546.475290062,Kotak Mahindra Bank,cc
2026-03-01,7255101.332261111,5680013.057862988,9310179.831859035,8167154.059842638,Kotak Mahindra Bank,cc
2026-04-01,7970605.3244978,6354675.915535969,10007958.187227666,8322257.806027403,Kotak Mahindra Bank,cc
2026-05-01,8239698.237548153,6484164.410006872,10354840.898578936,8475162.239183374,Kotak Mahindra Bank,cc
2026-06-01,8933937.563054193,6950552.03780959,11551724.336638851,8636115.417896511,Kotak Mahindra Bank,cc
2026-07-01,9065358.296758164,7062473.534489306,11612027.766940964,8794786.340818431,Kotak Mahindra Bank,cc
2026-08-01,9243981.818160335,7283890.454657504,11783133.105784534,8961809.551895507,Kotak Mahindra Bank,cc
2026-09-01,9184712.8306945,7152574.9193080785,11710737.829461358,9132004.727450792,Kotak Mahindra Bank,cc
2026-10-01,9259264.135306641,7266483.740244019,11775461.461399268,9299786.599161092,Kotak Mahindra Bank,cc
2026-11-01,9262468.247443741,7370483.780370686,11922194.235610884,9476400.350802084,Kotak Mahindra Bank,cc
2026-12-01,9064980.379665902,7007711.871166712,11492324.83628334,9650509.785593223,Kotak Mahindra Bank,cc
2027-01-01,10005789.292651696,7862410.426775619,12662332.380112704,9833784.177284587,Kotak Mahindra Bank,cc
2027-02-01,10172521.369330103,7990105.464163546,12780106.941271696,10020539.162220854,Kotak Mahindra Bank,cc
2027-03-01,8417900.74012322,6580434.245124974,10663107.823009992,10192267.685139341,Kotak Mahindra Bank,cc
2027-04-01,9798660.697517494,7753137.19916134,12395669.469909381,10385830.687629616,Kotak Mahindra Bank,cc
2027-05-01,10373576.6501492,8286264.97468413,13451814.72512752,10576649.039241122,Kotak Mahindra Bank,cc
