date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,493979.9100447003,410217.3616061982,573482.9173411748,508857.58127699833,Punjab National Bank,cc
2025-07-01,488145.68096270703,408303.5649885226,575630.0777773015,511589.7872904355,Punjab National Bank,cc
2025-08-01,501072.95161028777,416614.1478663809,587520.7213019425,514413.06683765387,Punjab National Bank,cc
2025-09-01,507863.4524224788,419518.9767693273,596302.6207909603,517236.3463848724,Punjab National Bank,cc
2025-10-01,513980.56160650664,419786.4881598677,599469.3663357603,519968.5523983096,Punjab National Bank,cc
2025-11-01,518528.55344230327,436724.1370971401,603579.3353694405,522791.831945528,Punjab National Bank,cc
2025-12-01,523962.6238949374,438884.83000458684,613191.027420571,525524.0379589652,Punjab National Bank,cc
2026-01-01,531190.0276042165,438279.2209269196,613961.9964848657,528347.3175061835,Punjab National Bank,cc
2026-02-01,534318.799498936,451116.05312874663,618420.6618871934,531170.597053402,Punjab National Bank,cc
2026-03-01,531436.7693980939,449246.1744909638,619913.6726646969,533720.6559992767,Punjab National Bank,cc
2026-04-01,536709.7556834318,452425.17853458814,623549.2593663988,536543.935546495,Punjab National Bank,cc
2026-05-01,543804.7979360353,454254.80682905635,629094.849010528,539276.1415599323,Punjab National Bank,cc
