date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2022-01-01,3438857.7085435307,3238329.3825074667,3631374.7519129543,3482334.836135687,Ratnakar Bank Limited,cc
2022-02-01,3467445.713677674,3275700.126678868,3659908.6835755766,3529678.179948916,Ratnakar Bank Limited,cc
2022-03-01,3523646.7093863916,3329256.1967451046,3705275.532385926,3572439.909844737,Ratnakar Bank Limited,cc
2022-04-01,3581799.2295697485,3385129.138315188,3777775.3940399014,3619783.2536579664,Ratnakar Bank Limited,cc
2022-05-01,3632602.676128901,3420048.9619033094,3850760.348143973,3665599.392832059,Ratnakar Bank Limited,cc
2022-06-01,3672947.053207512,3451819.825800784,3897670.642916625,3712942.736645289,Ratnakar Bank Limited,cc
2022-07-01,3687335.937743217,3479282.4669903107,3913784.24748512,3758758.8758193827,Ratnakar Bank Limited,cc
2022-08-01,3751432.39640736,3528517.4228661205,3984123.873038102,3806102.219632612,Ratnakar Bank Limited,cc
2022-09-01,3805044.137485394,3581093.8239004584,4029395.948058512,3853445.563445842,Ratnakar Bank Limited,cc
2022-10-01,3865351.3817210738,3618443.003203725,4102650.3758187564,3899261.7026199345,Ratnakar Bank Limited,cc
2022-11-01,3912149.9580376027,3695334.9396639033,4165013.5532681383,3946605.046433164,Ratnakar Bank Limited,cc
2022-12-01,3967018.1473301067,3722196.5962830945,4240580.071879551,3992421.185607257,Ratnakar Bank Limited,cc
