date,forecast,forecast_lower,forecast_upper,bank_name,card_type
2025-06-01,8269161.186439887,7326721.049914838,9296135.89750523,_RESIDUAL,cc
2025-07-01,8283416.023439904,7353443.488103887,9350696.187477585,_RESIDUAL,cc
2025-08-01,8350666.706139682,7368218.690019961,9480248.82671855,_RESIDUAL,cc
2025-09-01,8412882.382085029,7451443.17991045,9566110.742959103,_RESIDUAL,cc
2025-10-01,8484565.967494698,7503396.727021423,9506552.874801159,_RESIDUAL,cc
2025-11-01,8566245.668154009,7575945.70315638,9710770.568225106,_RESIDUAL,cc
2025-12-01,7760978.726588363,6858313.384070231,8687272.71907514,_RESIDUAL,cc
2026-01-01,8332891.770973617,7328681.275826791,9451231.993009822,_RESIDUAL,cc
2026-02-01,8375723.0342317745,7355004.243941077,9536878.97533895,_RESIDUAL,cc
2026-03-01,7776214.896649196,6870163.87212981,8896817.4433055,_RESIDUAL,cc
2026-04-01,8245775.439965273,7233502.023785533,9329708.435644642,_RESIDUAL,cc
2026-05-01,8349314.790183536,7374601.618827003,9461541.480567623,_RESIDUAL,cc
2026-06-01,8360835.609360145,7333658.7062396975,9558167.082797999,_RESIDUAL,cc
2026-07-01,8392367.138635589,7350554.009670625,9683945.929448217,_RESIDUAL,cc
2026-08-01,8466983.76739806,7350832.023253567,9717456.816071812,_RESIDUAL,cc
2026-09-01,8451341.71362705,7260887.844681289,9777528.290511135,_RESIDUAL,cc
2026-10-01,8485850.921607707,7370870.9578242805,9795349.551068727,_RESIDUAL,cc
2026-11-01,8508731.134651972,7365040.214777803,9930018.397058869,_RESIDUAL,cc
2026-12-01,8078919.27631768,6901103.171373929,9369770.3164137,_RESIDUAL,cc
2027-01-01,8320439.060125026,7097401.7786981175,9696943.782299224,_RESIDUAL,cc
2027-02-01,8390571.26165476,7104842.779923325,9857130.911284773,_RESIDUAL,cc
2027-03-01,7926496.9367726715,6740386.965416145,9390970.774722695,_RESIDUAL,cc
2027-04-01,8202656.767512322,6813083.0784983225,9716768.687042767,_RESIDUAL,cc
2027-05-01,8424045.173418423,6990702.046348121,10142632.743387997,_RESIDUAL,cc
