date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,1142250.8058588654,569671.7264003984,1728054.7867192742,1075053.4518649166,SBM Bank India,cc
2025-07-01,1079680.624153795,494072.8749796208,1637756.1203685729,1086239.4066861842,SBM Bank India,cc
2025-08-01,1087925.7457391275,519825.2821752741,1696499.5944319826,1097798.226668161,SBM Bank India,cc
2025-09-01,1143570.0725568621,600808.6560218133,1703931.501582206,1109357.0466501375,SBM Bank India,cc
2025-10-01,1200969.1782296312,621053.2148327223,1760498.5425779116,1120543.0014714054,SBM Bank India,cc
2025-11-01,1223426.1470919682,636128.0799936184,1847586.1856288742,1132101.821453382,SBM Bank India,cc
2025-12-01,1090756.8847795934,528268.5767586286,1621073.0081837415,1143287.7762746497,SBM Bank India,cc
2026-01-01,1010436.6227760309,439897.764157952,1596048.7384100487,1154846.5962566263,SBM Bank India,cc
2026-02-01,1037147.9663149259,427940.8655030407,1592746.544100093,1166405.4162386032,SBM Bank India,cc
2026-03-01,1069913.4790794326,515643.12903222616,1596258.8783145475,1176845.640738453,SBM Bank India,cc
2026-04-01,1129275.9426870216,568865.3856499215,1665373.5627909645,1188404.46072043,SBM Bank India,cc
2026-05-01,1171734.8097910027,602182.8031049075,1728755.4356199475,1199590.4155416975,SBM Bank India,cc
