date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,901178.7969953801,793611.0260893075,999398.662379469,883977.3960985411,Standard Chartered Bank,cc
2025-07-01,895814.2970359941,796352.6311165984,1001833.6992886722,874932.1762620545,Standard Chartered Bank,cc
2025-08-01,895296.5424542674,786567.5965517242,991894.9611008601,865585.449097685,Standard Chartered Bank,cc
2025-09-01,871844.043946354,769012.9762644919,974813.438069524,856238.7219333155,Standard Chartered Bank,cc
2025-10-01,841380.4927314284,740421.5402877101,957723.9718319161,847193.5020968289,Standard Chartered Bank,cc
2025-11-01,831990.8373021006,721743.5261721613,938728.336617703,837846.7749324593,Standard Chartered Bank,cc
2025-12-01,821649.2202468908,711898.0779936354,928959.1648143627,828801.5550959728,Standard Chartered Bank,cc
2026-01-01,820070.1921296312,713211.5463796933,939588.4946235466,819454.8279316034,Standard Chartered Bank,cc
2026-02-01,815169.6595713131,711409.9317199759,920630.4075110428,810108.1007672338,Standard Chartered Bank,cc
2026-03-01,815886.8221010397,712226.8355950118,927913.513706176,801665.8955865129,Standard Chartered Bank,cc
2026-04-01,803337.7709072746,680572.3554138324,910351.1537135632,792319.1684221437,Standard Chartered Bank,cc
2026-05-01,794164.6758242054,670389.863521243,910882.3389039021,783273.9485856567,Standard Chartered Bank,cc
