date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-02-01,879563.3437492852,799907.8251950545,968477.4717020484,952052.5658155262,Standard Chartered,cc
2025-03-01,987281.2038375778,903656.8427031803,1074388.1381919077,944862.2317368605,Standard Chartered,cc
2025-04-01,879476.7337932247,787600.6959848034,970474.9746209765,936901.5047211952,Standard Chartered,cc
2025-05-01,907774.2148766089,817225.3137074733,995748.910766038,929197.5753511965,Standard Chartered,cc
2025-06-01,900072.0398725617,809552.4890581715,989962.0416635651,921236.8483355312,Standard Chartered,cc
2025-07-01,920399.3032092325,835120.5222532841,1004378.804118204,913532.9189655322,Standard Chartered,cc
2025-08-01,859430.5521459598,766172.2036694599,945588.8206664852,905572.191949867,Standard Chartered,cc
2025-09-01,859888.0437474777,776659.2156682468,954339.270765665,897611.4649342016,Standard Chartered,cc
2025-10-01,860311.8078659414,763912.0191416212,948794.3370405501,889907.5355642026,Standard Chartered,cc
2025-11-01,851211.74259663,760218.6072970496,945106.5785917602,881946.8085485374,Standard Chartered,cc
2025-12-01,895208.3510877978,796670.1695140284,992360.0757365755,874242.8791785386,Standard Chartered,cc
2026-01-01,814276.786714583,710263.5160514584,914578.5046826818,866282.1521628733,Standard Chartered,cc
