date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,22112989.01844832,21875034.22483958,22212332.831019226,22194352.901547477,State Bank of India,cc
2025-07-01,22353262.978823956,21943844.624200065,22564273.094123762,22454639.76672454,State Bank of India,cc
2025-08-01,22734656.90092648,22269066.190098763,23003657.56647524,22726810.144986194,State Bank of India,cc
2025-09-01,22982486.884200174,22373516.157155875,23282136.442684475,23002279.472252395,State Bank of India,cc
2025-10-01,23266374.269942146,22481005.59462395,23593760.691429462,23272041.390197974,State Bank of India,cc
2025-11-01,23610753.335553404,22696075.807213686,23862992.424587518,23554119.408994403,State Bank of India,cc
2025-12-01,23665246.825837962,22641971.05621426,23912187.732134968,23830353.09394213,State Bank of India,cc
2026-01-01,24180350.309033982,22971905.921419915,24571094.626417875,24119198.351153757,State Bank of India,cc
2026-02-01,24488656.518081076,23191134.781749036,24941808.148271017,24411544.67185285,State Bank of India,cc
2026-03-01,24404401.905250542,22952355.662522767,24835986.431703508,24678643.93962731,State Bank of India,cc
2026-04-01,24898611.9742792,23220339.87172049,25305410.306119964,24977771.242441118,State Bank of India,cc
2026-05-01,25181100.025656097,23236036.134416193,25527363.32837607,25270700.969746154,State Bank of India,cc
2026-06-01,25472528.21619851,23357016.574335366,25757481.4604927,25577004.53458597,State Bank of India,cc
2026-07-01,25784218.80969527,23450929.837525085,26137861.13899121,25876961.8399774,State Bank of India,cc
2026-08-01,26297270.265659586,23842633.51879687,26668047.592517994,26190613.83011986,State Bank of India,cc
2026-09-01,26460297.54249784,23845775.56965964,26798616.556323178,26508067.563594166,State Bank of India,cc
2026-10-01,26776046.408620782,23962878.65576849,27072673.91669126,26818944.018881995,State Bank of India,cc
2026-11-01,27183938.232946023,24196397.14962403,27333157.441071488,27144013.67758633,State Bank of India,cc
2026-12-01,27242962.37096497,24126481.293884695,27330793.60120808,27462348.264846224,State Bank of India,cc
2027-01-01,27945203.791159324,24643098.491272267,27974443.75822226,27795216.55986902,State Bank of India,cc
2027-02-01,28288711.286690928,24840610.74508574,28270624.9060113,28132119.517067295,State Bank of India,cc
2027-03-01,27824737.869562868,24104137.41330316,27671204.083699476,28439927.506452948,State Bank of India,cc
2027-04-01,28743303.794717524,24753129.335427303,28486370.88220618,28784644.938352752,State Bank of India,cc
2027-05-01,29130470.863989215,24846654.2764677,28673125.329219468,29122220.219424617,State Bank of India,cc
