date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,543722.967276585,242071.5235442276,852207.1773790318,441776.7553439359,Union Bank,cc
2025-07-01,636541.834122091,349119.74249647924,920253.7570540176,445233.55744912534,Union Bank,cc
2025-08-01,382739.11621467955,93805.86099573685,656204.1593496043,448805.58629115426,Union Bank,cc
2025-09-01,402501.3577951547,114416.52740280924,685464.019884053,452377.6151331833,Union Bank,cc
2025-10-01,416667.5542102823,138740.6004625392,708535.0934322941,455834.4172383726,Union Bank,cc
2025-11-01,472218.7627495983,187153.29812546447,747397.9338432978,459406.44608040154,Union Bank,cc
2025-12-01,526719.8457009181,233637.6877048822,827625.2528997282,462863.24818559096,Union Bank,cc
2026-01-01,501198.562037973,197594.2481320783,793121.4572098788,466435.27702762,Union Bank,cc
2026-02-01,365389.0911255867,92334.02199639483,642313.6433753459,470007.30586964893,Union Bank,cc
2026-03-01,586409.6518755647,294930.04703616205,881203.5964663713,473233.65450115904,Union Bank,cc
2026-04-01,371443.58050849894,79121.43172095067,671901.2616186435,476805.683343188,Union Bank,cc
2026-05-01,420447.7388343378,139163.56018506506,705706.600497141,480262.4854483774,Union Bank,cc
