date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,805464.2753095492,587513.9443257605,1033130.9995055873,759503.8142981714,Union Bank of India,cc
2025-07-01,803491.5665923303,582891.813780491,1007357.6032861756,766448.6664335672,Union Bank of India,cc
2025-08-01,813227.7406200337,616494.1924401392,1021084.745489251,773625.0136401427,Union Bank of India,cc
2025-09-01,815746.7323272838,604044.0569598088,1021699.2964944507,780801.3608467183,Union Bank of India,cc
2025-10-01,820507.9796177368,611988.0457072128,1019709.6376065246,787746.2129821139,Union Bank of India,cc
2025-11-01,794931.440329726,588273.3628090308,986952.1324071431,794922.5601886895,Union Bank of India,cc
2025-12-01,782063.8835579545,584928.472066904,996042.5600272845,801867.4123240852,Union Bank of India,cc
2026-01-01,809470.7604373302,620099.0183086108,1028105.5711465498,809043.7595306608,Union Bank of India,cc
2026-02-01,810464.4029488962,607621.2213168644,1020320.9478021187,816220.1067372363,Union Bank of India,cc
2026-03-01,823287.9670098171,622162.7092974732,1039985.6745995907,822701.9687302724,Union Bank of India,cc
2026-04-01,840156.5597627369,621950.6424478184,1049975.6139622566,829878.3159368479,Union Bank of India,cc
2026-05-01,853762.7493338234,650202.4734574698,1055555.6572395582,836823.1680722436,Union Bank of India,cc
