date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,2730254.8978057727,2671352.0800766763,2777008.587491955,2667159.9876996125,Yes Bank,cc
2025-07-01,2783637.555986251,2647295.823540221,2921722.7742211437,2714906.950568249,Yes Bank,cc
2025-08-01,2815436.0293949028,2545506.5118428287,3084452.1764972406,2765143.6256155507,Yes Bank,cc
2025-09-01,2830943.3453046377,2434245.237880437,3272568.6212379592,2816309.880437106,Yes Bank,cc
2025-10-01,2907741.0543484674,2332679.5159431715,3587938.614844814,2866726.8937538555,Yes Bank,cc
2025-11-01,2951022.7144388175,2217338.979211127,3903794.2315197815,2919772.846054892,Yes Bank,cc
2025-12-01,2971095.654360555,2050888.6404361653,4229874.50508032,2972042.03192531,Yes Bank,cc
2026-01-01,2969845.6241729083,1858940.0596536347,4562377.337490466,3027036.736254117,Yes Bank,cc
2026-02-01,3008492.469758485,1735276.8798814346,5038709.602329551,3083049.062963127,Yes Bank,cc
2026-03-01,3044451.6357493554,1632429.0902919823,5572666.340968941,3134531.165858977,Yes Bank,cc
2026-04-01,3161345.064862967,1514098.7418140902,6445630.635555292,3192532.5702191554,Yes Bank,cc
2026-05-01,3263217.4800829133,1449894.9595020632,7361719.579936132,3249684.6441048793,Yes Bank,cc
2026-06-01,3382303.437358626,1348184.4388495032,8425368.936391644,3309816.849203991,Yes Bank,cc
2026-07-01,3455783.894582849,1242662.8799660464,9524698.213459913,3369068.5219289265,Yes Bank,cc
2026-08-01,3497052.3402198544,1130553.6986015995,10794605.842289753,3431409.8071093266,Yes Bank,cc
2026-09-01,3546569.8094784725,1029954.0561978181,12257480.45612567,3494904.6558516147,Yes Bank,cc
2026-10-01,3596642.080492876,933916.932688239,14242173.37839197,3557469.732106439,Yes Bank,cc
2026-11-01,3662646.780501434,851063.7413206854,16771767.589458516,3623297.1945519806,Yes Bank,cc
2026-12-01,3674743.895035122,764478.6121308618,18961790.234291796,3688160.72740774,Yes Bank,cc
2027-01-01,3672135.377190675,669744.9753973965,21228033.708693117,3756406.4969127113,Yes Bank,cc
2027-02-01,3724307.1862275414,600908.3780560317,23816613.955421146,3825915.0865973644,Yes Bank,cc
2027-03-01,3808698.187527212,535474.8066024452,27883591.856107723,3889801.887531044,Yes Bank,cc
2027-04-01,3935116.7368218964,492058.94219547394,33048505.903606832,3961778.826424332,Yes Bank,cc
2027-05-01,4010436.6848015278,409046.9748565264,38929421.883086905,4032701.7872573584,Yes Bank,cc
