date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2020-02-01,13061957.932575108,8611275.99357935,17281934.925283886,12021917.936545534,Allahabad Bank,dc
2020-03-01,12192184.541971399,7786002.832011718,16678617.566572977,12112855.553957941,Allahabad Bank,dc
2020-04-01,12761031.489558212,7918447.633068708,17105110.901436042,12210064.731191898,Allahabad Bank,dc
2020-05-01,12007321.424794735,7333092.67753391,16480940.791262513,12304138.128515081,Allahabad Bank,dc
2020-06-01,12048431.466130676,7711357.363477036,16688624.771525053,12401347.305749038,Allahabad Bank,dc
2020-07-01,11855800.371067706,7044137.957569084,16411037.023534123,12495420.70307222,Allahabad Bank,dc
2020-08-01,12864385.890548037,8508714.922371544,17553808.344981596,12592629.880306175,Allahabad Bank,dc
2020-09-01,11891697.290501576,7635749.847824554,16520759.169213755,12689839.057540132,Allahabad Bank,dc
2020-10-01,12872742.543733912,8620512.966040947,17482023.790776607,12783912.454863315,Allahabad Bank,dc
2020-11-01,12326687.654763393,7818432.303320678,17306915.40610691,12881121.632097268,Allahabad Bank,dc
2020-12-01,12387740.748423895,7848469.846676925,17007038.054531697,12975195.029420454,Allahabad Bank,dc
2021-01-01,12900960.709081722,8204156.3695006315,17812828.29507563,13072404.206654407,Allahabad Bank,dc
