date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2020-04-01,28309953.08590596,22953854.074890014,33561288.05382283,26476000.19289826,Andhra Bank,dc
2020-05-01,0.0,0.0,0.0,26690132.890758168,Andhra Bank,dc
2020-06-01,0.0,0.0,0.0,26911403.345213406,Andhra Bank,dc
2020-07-01,0.0,0.0,0.0,27125536.04307331,Andhra Bank,dc
2020-08-01,0.0,0.0,0.0,27346806.497528546,Andhra Bank,dc
2020-09-01,0.0,0.0,0.0,27568076.951983787,Andhra Bank,dc
2020-10-01,0.0,0.0,0.0,27782209.649843693,Andhra Bank,dc
2020-11-01,0.0,0.0,0.0,28003480.104298934,Andhra Bank,dc
2020-12-01,0.0,0.0,0.0,28217612.80215884,Andhra Bank,dc
2021-01-01,0.0,0.0,0.0,28438883.256614078,Andhra Bank,dc
2021-02-01,0.0,0.0,0.0,28660153.71106932,Andhra Bank,dc
2021-03-01,0.0,0.0,0.0,28860010.895738564,Andhra Bank,dc
