date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,40287639.301208846,39445546.64253807,40624088.89008537,40287639.301208846,Axis Bank,dc
2025-07-01,41828479.63029241,39852511.07490584,43036590.94599405,41828479.63029241,Axis Bank,dc
2025-08-01,43028310.84157304,38447815.2482612,44353473.1632781,43028310.84157304,Axis Bank,dc
2025-09-01,42797739.95617693,38722826.597224325,44193042.11992047,42797739.95617693,Axis Bank,dc
2025-10-01,42474661.9593336,38506572.772505,44169346.129429504,42474661.9593336,Axis Bank,dc
2025-11-01,42952510.38202651,39152208.27505268,45034188.15814534,42952510.38202651,Axis Bank,dc
2025-12-01,43200024.34564601,39433614.518914014,44973758.72336335,43200024.34564601,Axis Bank,dc
2026-01-01,43270545.0019155,40540305.47859083,45227989.247963056,43270545.0019155,Axis Bank,dc
2026-02-01,43127757.0535515,38971573.3166025,45118675.74343281,43127757.0535515,Axis Bank,dc
2026-03-01,43756026.835968845,40038080.57871928,46342823.84029016,43756026.835968845,Axis Bank,dc
2026-04-01,44285666.97030897,40476228.277128205,47131557.20164539,44285666.97030897,Axis Bank,dc
2026-05-01,44666950.56521594,41332001.646720566,48092411.09385872,44666950.56521594,Axis Bank,dc
2026-06-01,44810112.528964795,40383615.85240083,48449298.78967024,44810112.528964795,Axis Bank,dc
2026-07-01,46523919.28359297,41823986.345333725,50754813.646409325,46523919.28359297,Axis Bank,dc
2026-08-01,47858437.07592609,42946907.33516629,52287427.00651955,47858437.07592609,Axis Bank,dc
2026-09-01,47601983.54641116,43448185.557784215,52080292.61184655,47601983.54641116,Axis Bank,dc
2026-10-01,47242638.55601156,43374445.33379082,52049576.91361558,47242638.55601156,Axis Bank,dc
2026-11-01,47774127.66558503,44410845.40364578,53128183.35303956,47774127.66558503,Axis Bank,dc
2026-12-01,48049426.211910196,44595478.189077355,53202213.54928925,48049426.211910196,Axis Bank,dc
2027-01-01,48127863.136732474,44717539.01683078,52740298.86492718,48127863.136732474,Axis Bank,dc
2027-02-01,47969046.58334485,44508623.407428645,52328149.158425346,47969046.58334485,Axis Bank,dc
2027-03-01,48667842.543258496,45817907.493642226,53797657.05392888,48667842.543258496,Axis Bank,dc
2027-04-01,49256937.22271445,46578097.601970755,54703075.1979867,49256937.22271445,Axis Bank,dc
2027-05-01,49681021.65771176,47705206.03549383,55222967.547861725,49681021.65771176,Axis Bank,dc
