date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,109588203.60822077,109352349.72061966,109969082.54390404,108759479.92590949,Bank of Baroda,dc
2025-07-01,110695878.86540821,110294568.52123562,111061364.80594665,109003952.40905021,Bank of Baroda,dc
2025-08-01,111801898.79577594,110169520.77348632,111964637.50336497,109246001.83728938,Bank of Baroda,dc
2025-09-01,113113223.16685548,110776067.36875619,113930397.59033053,109477732.14345925,Bank of Baroda,dc
2025-10-01,112904890.22425443,110057756.53621402,115571552.14538075,109692554.1246711,Bank of Baroda,dc
2025-11-01,109098978.63760482,105696879.3000706,111387690.33505303,109905180.15892401,Bank of Baroda,dc
2025-12-01,107871103.20641112,104056171.85430877,109798333.92708538,110102253.4617954,Bank of Baroda,dc
2026-01-01,108420844.53145254,104597245.14412196,110306331.70695157,110297275.97767293,Bank of Baroda,dc
2026-02-01,108545993.01834376,104644054.0217265,109887655.6483931,110483893.54553376,Bank of Baroda,dc
2026-03-01,108073660.48854904,104006109.27693747,110028517.95895472,110645515.93550019,Bank of Baroda,dc
2026-04-01,109921299.5709837,106368661.14585745,113692335.17381877,110817084.61047575,Bank of Baroda,dc
2026-05-01,110578049.02088958,107117076.05535504,113917313.02158362,110976038.08085994,Bank of Baroda,dc
2026-06-01,112153630.82702017,108976472.75541668,115332873.78672564,111133275.39998588,Bank of Baroda,dc
2026-07-01,113336044.33885904,109933293.13257891,116115206.51972394,111278930.52642508,Bank of Baroda,dc
2026-08-01,114209667.21043311,109909840.51418416,116751416.55295095,111422993.46852547,Bank of Baroda,dc
2026-09-01,114629412.2207978,110643035.34780936,117137089.81693023,111560776.61743471,Bank of Baroda,dc
2026-10-01,113689158.3428052,111192504.8772231,116656362.78751075,111688386.0705177,Bank of Baroda,dc
2026-11-01,111645606.09367892,108382065.76325613,114491344.24912126,111814577.44639719,Bank of Baroda,dc
2026-12-01,109876193.12677783,106126941.4077064,112789730.82215604,111931437.75755462,Bank of Baroda,dc
2027-01-01,110383474.85496297,93623473.48359469,112442156.44620368,112046986.89157234,Bank of Baroda,dc
2027-02-01,110143890.68673846,92964167.9439975,110835011.90886585,112157467.8071681,Bank of Baroda,dc
2027-03-01,108625183.0683189,91277701.78108393,108748882.83585684,112253081.46626711,Bank of Baroda,dc
2027-04-01,111914116.14399552,94775447.80483735,111729467.64579873,112354508.61279348,Bank of Baroda,dc
2027-05-01,112970120.8795159,94703923.63907333,112163915.93735424,112448413.21093495,Bank of Baroda,dc
