date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,40871343.234926604,37320635.92654841,40570724.52968501,42089489.178437784,Bank of India,dc
2025-07-01,40091120.71763101,36292552.97991329,39544365.092196375,41959248.84399078,Bank of India,dc
2025-08-01,40392375.39236669,36500618.70907394,39366386.30889263,41825090.53636861,Bank of India,dc
2025-09-01,40830816.16023154,36669249.35642266,46496958.8410331,41691361.17949201,Bank of India,dc
2025-10-01,41005835.567122854,36021061.05030027,46124890.75160067,41562352.799233936,Bank of India,dc
2025-11-01,41289832.28855642,35388138.25719532,46251175.845039554,41429463.50623582,Bank of India,dc
2025-12-01,40995048.73446313,34105291.38674981,45433327.09940879,41301265.53352617,Bank of India,dc
2026-01-01,39369096.881718665,31282450.200412057,43613883.56303583,41169211.02727566,Bank of India,dc
2026-02-01,39737152.90873654,30546325.160968572,43760539.36972984,41037578.74518641,Bank of India,dc
2026-03-01,40603779.54092087,40778880.02786022,44340488.68397279,40919046.858706884,Bank of India,dc
2026-04-01,37516990.13086148,37065208.76961058,40610781.71334829,40788214.43842659,Bank of India,dc
2026-05-01,38286480.62340909,36446809.70868376,40711621.79345216,40662000.72574735,Bank of India,dc
2026-06-01,39141826.91294905,34424057.40290283,41156684.08344404,40531990.17130849,Bank of India,dc
2026-07-01,39262375.43305056,34093493.435327664,40777331.61205633,40406569.3105764,Bank of India,dc
2026-08-01,39554659.98496344,33713163.716079764,40425304.04336542,40277375.45916489,Bank of India,dc
2026-09-01,39664438.99561129,34366641.533854865,47849752.42146839,40148594.68540655,Bank of India,dc
2026-10-01,39451758.102386095,33217688.034155577,47200594.28303255,40024360.191059604,Bank of India,dc
2026-11-01,39295491.68537958,31153522.774109125,46604431.094506815,39896388.395066544,Bank of India,dc
2026-12-01,38671735.882710665,29330719.705943093,45089848.18645756,39772934.31957139,Bank of India,dc
2027-01-01,38676355.13052561,27447231.61420992,44583700.10655497,39645766.41949026,Bank of India,dc
2027-02-01,38754738.94939973,25894782.028704863,44351874.4137091,39519005.11939179,Bank of India,dc
2027-03-01,39649011.97487947,30896050.962996647,45027212.358899236,39404859.441790596,Bank of India,dc
2027-04-01,34802632.47452425,25028623.310911663,39904619.4185279,39278868.40504389,Bank of India,dc
2027-05-01,36352142.120774984,25323317.899570476,40860669.834617965,39157325.16310094,Bank of India,dc
