date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,62023261.91679612,60501270.52203079,63592481.3585985,62968539.7435181,Canara Bank,dc
2025-07-01,62536963.560342744,60885333.071472764,64106904.86628259,63435350.68898054,Canara Bank,dc
2025-08-01,63278901.967615075,61846648.05481995,64833695.15006048,63921357.9096202,Canara Bank,dc
2025-09-01,63973907.172190875,62353272.28064233,65701914.48795907,64411088.65369363,Canara Bank,dc
2025-10-01,64650634.09972488,63059006.89656897,66475401.740740955,64888593.7904565,Canara Bank,dc
2025-11-01,65291707.256083414,63618028.34981432,67142539.7495855,65385734.97066085,Canara Bank,dc
2025-12-01,66125352.36313488,64396792.87385635,68010060.58826555,65870465.54989638,Canara Bank,dc
2026-01-01,66425109.67187659,64709829.8784938,68298976.56169756,66375129.29838678,Canara Bank,dc
2026-02-01,66813930.0508737,65120380.971392035,68863988.90115574,66883659.5064968,Canara Bank,dc
2026-03-01,66962973.77672638,65122133.41686509,69133140.9834793,67346325.05380553,Canara Bank,dc
2026-04-01,67569798.85171269,65674033.29874354,69806558.28088197,67862296.03645538,Canara Bank,dc
2026-05-01,67468318.01096196,65259201.64319636,70192739.00221896,68365386.35213976,Canara Bank,dc
2026-06-01,67932840.54067388,65813176.30845883,70426640.76190695,68889164.8291298,Canara Bank,dc
2026-07-01,68316028.53536744,66000653.755398884,70873197.25465094,69399867.73335941,Canara Bank,dc
2026-08-01,69180965.50290295,66722539.37249967,72297846.03015557,69931571.84499173,Canara Bank,dc
2026-09-01,69932342.05192815,67185193.48124497,73229051.49996091,70467349.58482374,Canara Bank,dc
2026-10-01,70583620.9963822,67739837.06766655,74484895.48119426,70989752.20305689,Canara Bank,dc
2026-11-01,71488454.0847292,68069258.64623588,75612742.78953369,71533637.14622347,Canara Bank,dc
2026-12-01,72551594.4075233,68695083.83590585,77179379.31353562,72063944.58008033,Canara Bank,dc
2027-01-01,72826049.11300534,68217488.77344467,77966071.44368096,72616059.40197735,Canara Bank,dc
2027-02-01,73504338.62201923,68972031.5877838,79226409.30642296,73172404.227853,Canara Bank,dc
2027-03-01,72620001.1831147,67465693.80635205,78600267.0489739,73678571.96233805,Canara Bank,dc
2027-04-01,74010962.9532345,68580109.12851904,80423589.13053863,74243057.18253048,Canara Bank,dc
2027-05-01,73884183.13756368,68145933.22523035,81480410.22572258,74793450.62940039,Canara Bank,dc
