date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,28043834.094032828,27430658.505937807,32557462.837007724,30519214.35697471,Central Bank of India,dc
2025-07-01,28208312.402508203,27053138.889247913,32937041.922926214,30511998.354121715,Central Bank of India,dc
2025-08-01,28714666.118025005,26752425.638087798,33011129.992982768,30504543.610252563,Central Bank of India,dc
2025-09-01,28961109.492208112,26138129.509234294,32529630.290560152,30497090.68773918,Central Bank of India,dc
2025-10-01,29387845.002814263,27057265.669610903,32675950.06647513,30489879.915835224,Central Bank of India,dc
2025-11-01,28756393.057563987,25624246.279343072,32498773.15818896,30482430.575980853,Central Bank of India,dc
2025-12-01,29559885.741038535,28526300.317175172,33447270.87786572,30475223.270332623,Central Bank of India,dc
2026-01-01,27654457.2401997,26366126.289271448,31267756.93920535,30467777.51141484,Central Bank of India,dc
2026-02-01,27789148.54867664,25733609.161609724,31011973.31766955,30460333.57165761,Central Bank of India,dc
2026-03-01,27821750.870498385,25031622.24978081,30493654.48261174,30453611.57640484,Central Bank of India,dc
2026-04-01,28159882.3744647,25635861.866593067,31468879.439866222,30446171.097693186,Central Bank of India,dc
2026-05-01,28233208.32312149,24726279.271159187,31196000.035224035,30438972.36528313,Central Bank of India,dc
2026-06-01,27825737.649344955,25503345.901320368,35277408.18302612,30431535.46324847,Central Bank of India,dc
2026-07-01,28135353.91647101,25338752.271384314,35865088.32680293,30424340.1913068,Central Bank of India,dc
2026-08-01,28666731.568798248,24926366.35439096,36037268.9665937,30416906.864229914,Central Bank of India,dc
2026-09-01,28929737.492872797,24235048.522711083,35648411.89209001,30409475.353276208,Central Bank of India,dc
2026-10-01,29373988.718057036,25071309.48890028,35246780.19056007,30402285.297255654,Central Bank of India,dc
2026-11-01,29091918.209132258,24079541.16718474,34665758.59865156,30394857.358668204,Central Bank of India,dc
2026-12-01,29875182.146511618,27469532.931767106,35852012.221952505,30387670.75894514,Central Bank of India,dc
2027-01-01,27677986.89886404,25182843.472392965,34119115.38760238,30380246.391006686,Central Bank of India,dc
2027-02-01,27823252.157947477,24689313.73409131,33860252.58181879,30372823.837002505,Central Bank of India,dc
2027-03-01,27148491.294582613,22988922.69200018,32534673.983166445,30366121.153422743,Central Bank of India,dc
2027-04-01,27843464.062298037,23336213.62908307,33329935.722919002,30358702.050520767,Central Bank of India,dc
2027-05-01,28082365.438392036,23332704.336081795,33215730.839019313,30351523.999405645,Central Bank of India,dc
