date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2020-02-01,12524699.656355051,9869735.875422215,15434301.223575082,11281396.526890494,Corporation Bank,dc
2020-03-01,11147504.4848192,8291324.454972333,13884952.707646541,11304231.010139566,Corporation Bank,dc
2020-04-01,11127595.887241198,8527095.535697766,14038021.856265167,11328640.285336852,Corporation Bank,dc
2020-05-01,11211351.607960517,8415640.203475794,13952584.26789959,11352262.16456003,Corporation Bank,dc
2020-06-01,11100128.843315313,8251809.483205165,13802505.033998804,11376671.439757315,Corporation Bank,dc
2020-07-01,11295491.108390559,8641599.156522678,14107723.968038544,11400293.318980495,Corporation Bank,dc
2020-08-01,9500243.421037983,6867289.583804973,12339187.347506138,11424702.594177779,Corporation Bank,dc
2020-09-01,11326545.921994714,8206937.824681811,13984609.809542028,11449111.869375063,Corporation Bank,dc
2020-10-01,11453159.574620761,8723957.142614925,14217625.017806543,11472733.748598242,Corporation Bank,dc
2020-11-01,11559445.249902442,8682030.07988779,14346387.575495882,11497143.023795526,Corporation Bank,dc
2020-12-01,11735724.94976731,9008193.312781071,14650964.389780179,11520764.903018706,Corporation Bank,dc
2021-01-01,11623047.908628054,8885600.308328988,14433848.87327604,11545174.17821599,Corporation Bank,dc
