date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,60859869.94842093,60581406.42661564,61870039.43429532,60859869.94842093,HDFC Bank,dc
2025-07-01,61780338.143576376,61302060.56713259,62557926.502432205,61780338.143576376,HDFC Bank,dc
2025-08-01,62412147.80492733,62089193.689026475,63041614.75300478,62412147.80492733,HDFC Bank,dc
2025-09-01,62828193.490195245,62299888.03002441,63342955.88309844,62828193.490195245,HDFC Bank,dc
2025-10-01,63465602.16999046,62604078.15545407,64013174.33924396,63465602.16999046,HDFC Bank,dc
2025-11-01,64034298.9223834,62048135.62445906,64870598.52295769,64034298.9223834,HDFC Bank,dc
2025-12-01,64290269.17292278,60370525.80261327,66285549.224728115,64290269.17292278,HDFC Bank,dc
2026-01-01,63733885.27689002,60124766.29172922,65603050.95093003,63733885.27689002,HDFC Bank,dc
2026-02-01,64574504.79470154,60940762.29515541,66329042.89655463,64574504.79470154,HDFC Bank,dc
2026-03-01,65060778.89737516,61121187.427662954,66727760.231113344,65060778.89737516,HDFC Bank,dc
2026-04-01,65502341.120186195,61282441.07298531,66934608.38376076,65502341.120186195,HDFC Bank,dc
2026-05-01,66107745.19336954,61507490.11777761,67716597.06463817,66107745.19336954,HDFC Bank,dc
2026-06-01,66726859.00074544,61647647.66501927,68698480.89685784,66726859.00074544,HDFC Bank,dc
2026-07-01,67736061.80443385,62299097.057566464,69561873.13590947,67736061.80443385,HDFC Bank,dc
2026-08-01,68428778.92925018,62828084.945160456,70285412.15346451,68428778.92925018,HDFC Bank,dc
2026-09-01,68884932.0850518,63074032.77827084,70830655.50468664,68884932.0850518,HDFC Bank,dc
2026-10-01,69583787.98265938,63329632.40144587,71696519.5419558,69583787.98265938,HDFC Bank,dc
2026-11-01,70207308.01299205,63503641.110859156,72919487.063426,70207308.01299205,HDFC Bank,dc
2026-12-01,70487954.20572862,63188629.86768119,74595413.76376145,70487954.20572862,HDFC Bank,dc
2027-01-01,69877934.01083325,61586435.488084346,73868385.79565673,69877934.01083325,HDFC Bank,dc
2027-02-01,70799590.5967705,62026330.59864309,74673128.89067835,70799590.5967705,HDFC Bank,dc
2027-03-01,71332742.30191608,62086279.69032825,75142962.87219056,71332742.30191608,HDFC Bank,dc
2027-04-01,71816871.83035529,61875948.852976575,75512529.33022454,71816871.83035529,HDFC Bank,dc
2027-05-01,72480637.82600491,62211068.62988375,75986381.00734004,72480637.82600491,HDFC Bank,dc
