date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,32008285.299389992,30319662.507533055,32886254.348956324,32008285.299389992,ICICI Bank,dc
2025-07-01,31841820.838292267,27445112.700047545,33939634.65222705,31841820.838292267,ICICI Bank,dc
2025-08-01,32025026.20972254,27829899.466720197,34699660.82020282,32025026.20972254,ICICI Bank,dc
2025-09-01,32178245.501696922,28284340.301319893,35162609.76163356,32178245.501696922,ICICI Bank,dc
2025-10-01,32394720.607128043,28605591.370411642,35763068.5089129,32394720.607128043,ICICI Bank,dc
2025-11-01,32344898.546433806,27757302.98802065,35872789.583129786,32344898.546433806,ICICI Bank,dc
2025-12-01,32114459.765012603,25743504.363334008,35845088.91164848,32114459.765012603,ICICI Bank,dc
2026-01-01,31948654.698334016,23455638.250889864,36057037.35171973,31948654.698334016,ICICI Bank,dc
2026-02-01,31296755.06077553,22683274.718124896,35786872.6951462,31296755.06077553,ICICI Bank,dc
2026-03-01,31194579.613895245,22646403.96198505,36254000.72092925,31194579.613895245,ICICI Bank,dc
2026-04-01,31235468.42447245,22562286.883524172,36503950.194041714,31235468.42447245,ICICI Bank,dc
2026-05-01,31407653.62326164,22549351.36817987,37139025.47098993,31407653.62326164,ICICI Bank,dc
2026-06-01,31534914.931764014,21027946.925189346,37613595.83683391,31534914.931764014,ICICI Bank,dc
2026-07-01,31370912.31265337,20471860.731475346,38175073.637403235,31370912.31265337,ICICI Bank,dc
2026-08-01,31551408.26086699,20331045.805984914,38783994.378708474,31551408.26086699,ICICI Bank,dc
2026-09-01,31702361.5935866,20536313.33704429,39266059.26221534,31702361.5935866,ICICI Bank,dc
2026-10-01,31915635.249890417,20422564.1847234,39819316.85899621,31915635.249890417,ICICI Bank,dc
2026-11-01,31866550.007374015,19974105.704476535,39221255.84767078,31866550.007374015,ICICI Bank,dc
2026-12-01,31639519.183806486,18988019.626299158,39496687.97337365,31639519.183806486,ICICI Bank,dc
2027-01-01,31476166.207334593,18685717.799029768,39541195.35904992,31476166.207334593,ICICI Bank,dc
2027-02-01,30833907.509881426,17975223.400453556,39182350.098736234,30833907.509881426,ICICI Bank,dc
2027-03-01,30733243.135115396,17880520.809301432,40929930.58679773,30733243.135115396,ICICI Bank,dc
2027-04-01,30773527.241300944,17831592.53460414,39575294.70793532,30773527.241300944,ICICI Bank,dc
2027-05-01,30943165.994145222,17414826.782682776,40279218.381133184,30943165.994145222,ICICI Bank,dc
