date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2022-01-01,13187056.89203475,12922147.822628738,13468532.360449964,13247179.063237483,Idbi Ltd,dc
2022-02-01,13262974.627713248,12991430.185448423,13523548.513802731,13270382.161910482,Idbi Ltd,dc
2022-03-01,13328033.315097157,13069731.13024157,13604646.284922577,13291339.799421577,Idbi Ltd,dc
2022-04-01,13331554.915261807,13077250.25728184,13609314.159163654,13314542.898094574,Idbi Ltd,dc
2022-05-01,13309217.282337306,13022696.380644174,13586840.209648937,13336997.509713605,Idbi Ltd,dc
2022-06-01,13371233.810345843,13107495.457881762,13638945.235638896,13360200.608386602,Idbi Ltd,dc
2022-07-01,13459502.442368548,13183200.094827712,13755399.832945263,13382655.220005635,Idbi Ltd,dc
2022-08-01,13377757.899267167,13097643.346368121,13657245.15296592,13405858.318678632,Idbi Ltd,dc
2022-09-01,13412995.152904289,13128053.552051725,13728553.531535678,13429061.417351631,Idbi Ltd,dc
2022-10-01,13521520.63241763,13220768.99295622,13820676.573543983,13451516.02897066,Idbi Ltd,dc
2022-11-01,13582702.235243391,13291109.772159059,13913950.23201606,13474719.12764366,Idbi Ltd,dc
2022-12-01,13430454.097437419,13120965.625341108,13754594.544287825,13497173.739262689,Idbi Ltd,dc
