date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,28356684.222150676,4788836.75233115,190194992.27924046,13635691.264100898,India Post Payments Bank,dc
2025-07-01,26564201.61751046,4052106.0828888607,167355715.99466345,13825550.35319984,India Post Payments Bank,dc
2025-08-01,24171252.423766512,3563481.981635385,160295132.78112638,14024515.690583441,India Post Payments Bank,dc
2025-09-01,20639810.864257466,2960872.095434541,148794891.99768412,14226344.364442302,India Post Payments Bank,dc
2025-10-01,16055374.209196888,2407551.751834712,107104773.77402441,14424427.521482373,India Post Payments Bank,dc
2025-11-01,18728815.920329887,2675366.5538231297,138106797.0042865,14632011.379371567,India Post Payments Bank,dc
2025-12-01,17122897.069045007,2191405.102205602,123850061.53094894,14835742.916298792,India Post Payments Bank,dc
2026-01-01,22667205.248061877,2430642.5788770476,190750460.61539805,15049246.068414308,India Post Payments Bank,dc
2026-02-01,23852828.465916004,2460300.235162145,188290231.2547247,15265821.772618916,India Post Payments Bank,dc
2026-03-01,33043071.230582036,2923938.769131244,270722775.49187195,15464116.228896562,India Post Payments Bank,dc
2026-04-01,29660285.318675026,2702498.289951026,295956108.0390603,15686662.384430105,India Post Payments Bank,dc
2026-05-01,35624635.0957623,2177426.6622833284,343091101.6862618,15905078.55014333,India Post Payments Bank,dc
2026-06-01,31635600.249382637,1670568.333000251,393761202.98046505,16133970.652741095,India Post Payments Bank,dc
2026-07-01,24262071.68049805,848411.675612095,390446009.41939,16358614.998052564,India Post Payments Bank,dc
2026-08-01,24649708.00794652,517983.11730391614,575615257.4136786,16594034.003633704,India Post Payments Bank,dc
2026-09-01,25425498.839884702,338238.5483233767,812343350.2211581,16832840.95524863,India Post Payments Bank,dc
2026-10-01,23532426.00984116,402838.71370019193,677942958.5388436,17067216.15077749,India Post Payments Bank,dc
2026-11-01,44145567.56048136,577444.0656154446,1944263980.2039504,17312832.72923081,India Post Payments Bank,dc
2026-12-01,12022711.073483065,348400.84229919,260639849.54372025,17553891.179208227,India Post Payments Bank,dc
2027-01-01,18246430.190933622,241844.9698261342,644033078.9458373,17806511.562338423,India Post Payments Bank,dc
2027-02-01,20232467.077885225,159475.1336365896,912556233.4653754,18062767.438800883,India Post Payments Bank,dc
2027-03-01,60898154.725935884,251816.84008325927,5953660206.507208,18297392.647005536,India Post Payments Bank,dc
2027-04-01,40990820.62101444,68422.60570095369,7264414791.402125,18560712.858056247,India Post Payments Bank,dc
2027-05-01,47817720.82007375,44619.0867852629,22178197609.826298,18819146.398346256,India Post Payments Bank,dc
