date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,35358357.557903185,33600392.781151876,37343572.4713155,34905285.65318695,Indian Bank,dc
2025-07-01,35825265.6213599,33931501.936318085,37772430.53797497,35116587.35710278,Indian Bank,dc
2025-08-01,36186928.82295028,34366174.33973614,38121434.49953596,35336276.338855274,Indian Bank,dc
2025-09-01,36502220.082984775,34559915.06358887,38493457.46044555,35557339.69240643,Indian Bank,dc
2025-10-01,36367803.937389456,34436869.38918232,38384457.2673907,35772588.65310607,Indian Bank,dc
2025-11-01,36382771.43504766,34336812.69645118,38445435.03031754,35996381.57158718,Indian Bank,dc
2025-12-01,35687408.29161174,33819710.520437635,37728652.39019689,36214288.304391176,Indian Bank,dc
2026-01-01,35844023.344339676,34016243.94882252,37935122.83084911,36440844.49092239,Indian Bank,dc
2026-02-01,37558755.53654766,35454836.02167471,39795036.746481284,36668818.01040826,Indian Bank,dc
2026-03-01,37293135.68346656,35145824.153246865,39457749.04643028,36875955.17856356,Indian Bank,dc
2026-04-01,37459132.945038214,35413102.45379111,39727288.67028255,37106650.74561696,Indian Bank,dc
2026-05-01,37580135.21818219,35452604.040565535,39902145.30231771,37331278.57401339,Indian Bank,dc
2026-06-01,38173927.694637716,35771320.34659125,40612058.92602302,37564822.639106885,Indian Bank,dc
2026-07-01,38624650.1973548,36321224.42360366,41254749.044875495,37792224.044547334,Indian Bank,dc
2026-08-01,39051720.86140936,36628651.19367058,41547815.92427394,38028651.77931953,Indian Bank,dc
2026-09-01,39275258.07259272,37004327.35799858,41934469.83715502,38266558.603341,Indian Bank,dc
2026-10-01,39005154.44523379,36271601.11346827,41991930.89422949,38498208.01872962,Indian Bank,dc
2026-11-01,39193333.43147646,36732699.24694504,42220724.40878196,38739052.38130289,Indian Bank,dc
2026-12-01,38177688.49090593,35649236.07763608,41126370.97986563,38973562.07231007,Indian Bank,dc
2027-01-01,38540132.94829069,35930731.409087464,41725439.35441714,39217380.24449565,Indian Bank,dc
2027-02-01,39891612.97647502,36846662.76932537,43088758.910871394,39462723.74042383,Indian Bank,dc
2027-03-01,40265469.287438266,37106046.17624382,44151082.836036325,39685643.30181217,Indian Bank,dc
2027-04-01,40584339.103396684,37481392.049807034,44398538.51782976,39933916.24615966,Indian Bank,dc
2027-05-01,40666292.56519763,37435483.50879708,45038076.19730616,40175659.13290306,Indian Bank,dc
