date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,19038922.25210525,18752650.93256092,19268553.63506471,19038922.25210525,Indian Overseas Bank,dc
2025-07-01,19290996.669678554,18757708.650766425,19709028.534897674,19290996.669678554,Indian Overseas Bank,dc
2025-08-01,19436811.53691803,18764745.0935412,19867990.413628273,19436811.53691803,Indian Overseas Bank,dc
2025-09-01,19696814.150487974,15155344.779240606,20293275.828323364,19696814.150487974,Indian Overseas Bank,dc
2025-10-01,19797230.606179353,15106708.055198085,21611312.239420123,19797230.606179353,Indian Overseas Bank,dc
2025-11-01,18590143.830134954,13625469.182409279,20306379.696475074,18590143.830134954,Indian Overseas Bank,dc
2025-12-01,18945939.06677757,13791079.993881945,20965950.947336942,18945939.06677757,Indian Overseas Bank,dc
2026-01-01,18867394.588435996,13615097.912859052,21070216.199263964,18867394.588435996,Indian Overseas Bank,dc
2026-02-01,18895427.859055966,13401608.591989435,21100886.194002375,18895427.859055966,Indian Overseas Bank,dc
2026-03-01,19214836.942158878,12773133.019498598,21511221.283732932,19214836.942158878,Indian Overseas Bank,dc
2026-04-01,19330941.468685303,13878070.057760876,22163655.488903437,19330941.468685303,Indian Overseas Bank,dc
2026-05-01,19555773.82347591,13840016.924596474,22463855.69647233,19555773.82347591,Indian Overseas Bank,dc
2026-06-01,19809972.551914383,14048146.219521359,22620169.016538635,19809972.551914383,Indian Overseas Bank,dc
2026-07-01,20072255.637943972,14299174.600399308,23177090.17896451,20072255.637943972,Indian Overseas Bank,dc
2026-08-01,20223975.807474524,14228120.00904676,23465706.54210784,20223975.807474524,Indian Overseas Bank,dc
2026-09-01,20494508.17057335,14147746.664448926,23947036.89101512,20494508.17057335,Indian Overseas Bank,dc
2026-10-01,20598991.35510445,14194687.81972554,25009806.44275917,20598991.35510445,Indian Overseas Bank,dc
2026-11-01,19343019.21888288,12666696.900296181,23797909.48511503,19343019.21888288,Indian Overseas Bank,dc
2026-12-01,19713223.675009847,12850128.609495515,23799204.532006398,19713223.675009847,Indian Overseas Bank,dc
2027-01-01,19631498.252936687,12700342.252207134,24062495.815507315,19631498.252936687,Indian Overseas Bank,dc
2027-02-01,19660666.83259856,12539340.183567021,24038315.108034577,19660666.83259856,Indian Overseas Bank,dc
2027-03-01,19993011.545832813,12835633.17230453,24578182.589510404,19993011.545832813,Indian Overseas Bank,dc
2027-04-01,20113818.146568056,14811561.13079735,25235923.054538958,20113818.146568056,Indian Overseas Bank,dc
2027-05-01,20347755.90360615,14669823.780959925,25602452.140116476,20347755.90360615,Indian Overseas Bank,dc
