date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,39426758.898201555,39104856.74409147,39362231.98671466,40028543.52691267,Kotak Mahindra Bank,dc
2025-07-01,39841219.00332234,39329789.97268061,39898189.54015531,40577606.84667231,Kotak Mahindra Bank,dc
2025-08-01,40474918.90253128,39347006.46273475,40329830.56541382,41152885.621265545,Kotak Mahindra Bank,dc
2025-09-01,41299700.52995828,40072467.54133512,41110048.05337131,41736320.26521791,Kotak Mahindra Bank,dc
2025-10-01,42064315.610557295,41152909.19418109,42687917.343509115,42308808.80756369,Kotak Mahindra Bank,dc
2025-11-01,42537407.264168404,41296588.20322036,43313930.14186959,42908631.2601974,Kotak Mahindra Bank,dc
2025-12-01,43946703.146585874,42145715.08411058,44618331.12042629,43497200.151561655,Kotak Mahindra Bank,dc
2026-01-01,43620510.798100695,41397401.07042238,44397546.55552495,44113870.72197227,Kotak Mahindra Bank,dc
2026-02-01,44147877.21249929,41298485.7067651,44921723.04063364,44739283.9834607,Kotak Mahindra Bank,dc
2026-03-01,44551773.2503234,41720775.4692287,45186172.70892829,45311790.97387825,Kotak Mahindra Bank,dc
2026-04-01,45011951.26217159,42836236.62532214,46031616.260291025,45954187.44682609,Kotak Mahindra Bank,dc
2026-05-01,45505121.00507972,43191082.29769906,46515456.38283802,46584531.60656716,Kotak Mahindra Bank,dc
2026-06-01,46383895.48929642,43563634.94304113,47136053.016664796,47244972.038003504,Kotak Mahindra Bank,dc
2026-07-01,46905682.2759987,43768319.05483926,47582522.06735038,47893021.6247368,Kotak Mahindra Bank,dc
2026-08-01,47772628.22734328,44124022.387407735,48184622.692296736,48572012.84253456,Kotak Mahindra Bank,dc
2026-09-01,48683555.50174706,45006995.21072917,48951126.77259582,49260630.28662941,Kotak Mahindra Bank,dc
2026-10-01,49886867.07227827,46180428.778374866,50793596.287157916,49936328.243358955,Kotak Mahindra Bank,dc
2026-11-01,49718868.50116052,45363832.24075254,50638259.78432,50644287.9240617,Kotak Mahindra Bank,dc
2026-12-01,51843163.06226469,46546881.424747325,52449966.948122434,51338965.22827435,Kotak Mahindra Bank,dc
2027-01-01,52206070.82349121,45995914.61000356,52815228.0914357,52066810.44015288,Kotak Mahindra Bank,dc
2027-02-01,52492511.66945323,45094821.30189391,52844690.04488094,52804974.493476495,Kotak Mahindra Bank,dc
2027-03-01,52186772.770216085,44516830.77678394,52310236.57005777,53480694.2241344,Kotak Mahindra Bank,dc
2027-04-01,52985004.30673273,45943209.13950825,53240923.30599548,54238903.25728383,Kotak Mahindra Bank,dc
2027-05-01,53806903.37661304,45752834.05634528,53875948.04744855,54982887.16136006,Kotak Mahindra Bank,dc
