date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2020-02-01,12029459.777598051,11387263.418914923,12691968.1499928,12099128.025044024,Oriental Bank Of Commerce,dc
2020-03-01,12205474.021119302,11575888.245960189,12809107.20796952,12147086.076648988,Oriental Bank Of Commerce,dc
2020-04-01,12177451.465830902,11549302.01944132,12803269.592177415,12198351.58008878,Oriental Bank Of Commerce,dc
2020-05-01,12214326.986222038,11559196.012279285,12858570.784360277,12247963.357611159,Oriental Bank Of Commerce,dc
2020-06-01,12159457.133480322,11456528.155055987,12795772.89372518,12299228.861050949,Oriental Bank Of Commerce,dc
2020-07-01,12315291.00131722,11582499.4662378,12935029.070363525,12348840.638573326,Oriental Bank Of Commerce,dc
2020-08-01,12646366.174741164,11975122.515670696,13317007.447013585,12400106.142013118,Oriental Bank Of Commerce,dc
2020-09-01,12703953.723143015,11987870.12186802,13442664.266259057,12451371.64545291,Oriental Bank Of Commerce,dc
2020-10-01,12553638.755514083,11864043.818368796,13255072.1074959,12500983.422975287,Oriental Bank Of Commerce,dc
2020-11-01,12432021.31518095,11636144.189064354,13163564.348448772,12552248.926415078,Oriental Bank Of Commerce,dc
2020-12-01,12548503.102602754,11734841.439368352,13256888.272375684,12601860.703937456,Oriental Bank Of Commerce,dc
2021-01-01,12632499.826358195,11799973.617803156,13380704.813182538,12653126.207377246,Oriental Bank Of Commerce,dc
