date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,30968331.51638914,27291337.24644308,35053903.113515794,30968331.51638914,Paytm Payments Bank,dc
2025-07-01,29929397.71059104,24945800.08493433,35973025.07762401,29929397.71059104,Paytm Payments Bank,dc
2025-08-01,30134497.661904566,24209033.999909744,37724673.31683482,30134497.661904566,Paytm Payments Bank,dc
2025-09-01,30495114.593224715,23441097.864384357,39685571.79059975,30495114.593224715,Paytm Payments Bank,dc
2025-10-01,30877008.99672143,22832378.361774478,41618626.440274574,30877008.99672143,Paytm Payments Bank,dc
2025-11-01,31259690.52462525,22271873.215681374,43667780.632574186,31259690.52462525,Paytm Payments Bank,dc
2025-12-01,31643957.15390449,21739571.54685845,45100012.593825325,31643957.15390449,Paytm Payments Bank,dc
2026-01-01,31550642.788675632,21227069.948719174,46258089.389634,31550642.788675632,Paytm Payments Bank,dc
2026-02-01,31237571.087886747,20535023.329277057,46951565.333750404,31237571.087886747,Paytm Payments Bank,dc
2026-03-01,27753071.31964655,17788591.254102375,43159790.007415995,27753071.31964655,Paytm Payments Bank,dc
2026-04-01,28081761.41920867,17575006.33677702,45079638.713708885,28081761.41920867,Paytm Payments Bank,dc
2026-05-01,28394633.179735918,17256130.64672166,46392076.43099621,28394633.179735918,Paytm Payments Bank,dc
2026-06-01,28744665.4539469,16668724.375006966,49010907.575596385,28744665.4539469,Paytm Payments Bank,dc
2026-07-01,27780331.785042014,15451028.120761069,49126153.987630494,27780331.785042014,Paytm Payments Bank,dc
2026-08-01,27970704.634051822,14993768.29496593,49462918.074419,27970704.634051822,Paytm Payments Bank,dc
2026-09-01,28305427.641916636,14584200.22257313,52257592.566422395,28305427.641916636,Paytm Payments Bank,dc
2026-10-01,28659900.303411495,14567671.087728297,53505959.16699563,28659900.303411495,Paytm Payments Bank,dc
2026-11-01,29015103.570228025,14742212.221686678,57352766.19603497,29015103.570228025,Paytm Payments Bank,dc
2026-12-01,29371778.12098614,14386344.445204917,60077220.20629264,29371778.12098614,Paytm Payments Bank,dc
2027-01-01,29285164.148391955,13713292.785748284,61305396.9329113,29285164.148391955,Paytm Payments Bank,dc
2027-02-01,28994572.408892136,13100754.480651962,60724855.31352969,28994572.408892136,Paytm Payments Bank,dc
2027-03-01,25760275.452673636,11558596.091455765,57448397.053167805,25760275.452673636,Paytm Payments Bank,dc
2027-04-01,26065364.119414978,11099091.727173809,58361840.43338695,26065364.119414978,Paytm Payments Bank,dc
2027-05-01,26355770.275266457,11094562.19997981,59393442.57972222,26355770.275266457,Paytm Payments Bank,dc
