date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,39116625.639316715,37055198.984563395,41218803.83866461,38280738.17323871,Punjab National Bank,dc
2025-07-01,38786490.381594755,36825638.90883999,40773016.95996228,38153549.712293476,Punjab National Bank,dc
2025-08-01,38311715.73305581,36358435.641786195,40182769.927647136,38022565.56965513,Punjab National Bank,dc
2025-09-01,38034112.76805414,36090481.804507025,40085493.41695777,37892031.105888136,Punjab National Bank,dc
2025-10-01,38456876.75470352,36360884.976577826,40552938.26697459,37766134.131333254,Punjab National Bank,dc
2025-11-01,39439487.583653845,37290923.2445401,41559012.08657955,37636480.01687759,Punjab National Bank,dc
2025-12-01,38967777.45692371,36924575.43675517,40972354.97221203,37511432.1155226,Punjab National Bank,dc
2026-01-01,38707096.93656296,36632897.571000345,40877691.99546809,37382652.41313466,Punjab National Bank,dc
2026-02-01,38478809.73614855,36562417.23489706,40541366.89269127,37254314.82160132,Punjab National Bank,dc
2026-03-01,38770342.02916247,36745843.63050627,41089765.97598301,37138775.73809669,Punjab National Bank,dc
2026-04-01,38434443.92412995,36334726.54524265,40801110.458921865,37011275.394384146,Punjab National Bank,dc
2026-05-01,38166059.033235565,36045485.36800762,40471075.48229635,36888304.74690207,Punjab National Bank,dc
2026-06-01,37634220.85000028,35411675.36577263,39885363.15457319,36761664.289816715,Punjab National Bank,dc
2026-07-01,37186220.79919235,35070262.19246506,39670227.30521687,36639522.97982696,Punjab National Bank,dc
2026-08-01,36527665.8815246,34321715.99116212,39081309.7840872,36513736.6101293,Punjab National Bank,dc
2026-09-01,36193124.61532394,33836686.25336712,38740436.19370643,36388382.07493938,Punjab National Bank,dc
2026-10-01,37015808.02749172,34804091.0589546,39547722.54564419,36267481.00198354,Punjab National Bank,dc
2026-11-01,36316409.88257908,33825825.81639435,38971817.84398149,36142971.88167902,Punjab National Bank,dc
2026-12-01,37619196.60598941,35316137.34637642,40176676.748679176,36022886.188610174,Punjab National Bank,dc
2027-01-01,37375993.28023122,35016007.06779535,40273297.66972381,35899216.781551875,Punjab National Bank,dc
2027-02-01,37061195.024145156,34744605.67973767,39879144.53463117,35775971.941302076,Punjab National Bank,dc
2027-03-01,38048336.7648838,35229552.25847248,40889777.699909225,35665017.73280397,Punjab National Bank,dc
2027-04-01,37337757.73064094,34455139.40857701,40637843.22878023,35542576.91632207,Punjab National Bank,dc
2027-05-01,36826439.66842122,33789372.54630367,39829655.93142,35424486.046583496,Punjab National Bank,dc
