date,forecast,forecast_lower,forecast_upper,bank_name,card_type
2025-06-01,149647649.51584932,137749305.3582533,162578785.44115672,_RESIDUAL,dc
2025-07-01,151096684.46313876,139818112.40860224,164839401.69651386,_RESIDUAL,dc
2025-08-01,153397913.77301493,141587954.03229788,167103105.01242417,_RESIDUAL,dc
2025-09-01,155593483.4667349,142441938.7593207,170928750.97335812,_RESIDUAL,dc
2025-10-01,157060633.32110915,144266984.022574,173466173.1815449,_RESIDUAL,dc
2025-11-01,160517476.53902328,145721966.85841802,179992254.8244261,_RESIDUAL,dc
2025-12-01,161787646.3599079,144956796.74204013,183003670.35156474,_RESIDUAL,dc
2026-01-01,162860422.4182535,144761051.92214742,186069339.57973018,_RESIDUAL,dc
2026-02-01,164004531.61874416,140728483.01354522,193430011.32478827,_RESIDUAL,dc
2026-03-01,162602172.20384657,137006459.08511528,195639197.2022125,_RESIDUAL,dc
2026-04-01,156799352.15572235,132219042.58355288,193546416.40496266,_RESIDUAL,dc
2026-05-01,157751460.4235627,130004763.09861201,199423937.1683025,_RESIDUAL,dc
2026-06-01,159123205.9281731,126922272.27464661,207887284.9233647,_RESIDUAL,dc
2026-07-01,160459691.12887058,126305936.2026386,216220517.61262065,_RESIDUAL,dc
2026-08-01,162883287.5199642,126579228.68137231,221223476.5759175,_RESIDUAL,dc
2026-09-01,163844783.08206335,123144834.26719068,235241297.08668184,_RESIDUAL,dc
2026-10-01,165506232.88663566,119528217.72951594,242373436.31756562,_RESIDUAL,dc
2026-11-01,169786594.24432024,119917664.87859896,259330527.9805162,_RESIDUAL,dc
2026-12-01,172876621.470404,118114843.43095767,277116997.07665414,_RESIDUAL,dc
2027-01-01,173573825.52218255,115910960.42994437,283540338.85134876,_RESIDUAL,dc
2027-02-01,176070299.26662654,112688560.92224832,309170777.30744016,_RESIDUAL,dc
2027-03-01,167150416.72099638,103827063.4648081,294178971.97383714,_RESIDUAL,dc
2027-04-01,167965239.95657864,101521283.45965993,309639201.3864274,_RESIDUAL,dc
2027-05-01,168004939.00680488,99245654.25319688,322663889.27636534,_RESIDUAL,dc
