date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,223781788.55594695,222958430.09364352,239563256.75443122,221424838.9259599,State Bank of India,dc
2025-07-01,221489280.32001048,216860180.23893136,239688059.73357588,220254474.31038955,State Bank of India,dc
2025-08-01,220576850.10792136,217341873.84691015,240234636.55500335,219051595.98692003,State Bank of India,dc
2025-09-01,218881222.06027406,210901324.7201435,240682726.9178031,217855286.95680553,State Bank of India,dc
2025-10-01,223479228.13952902,210191632.0788479,242433498.28743398,216703789.58900967,State Bank of India,dc
2025-11-01,223417195.92143127,206186553.97063312,247180976.83538407,215520302.6612381,State Bank of India,dc
2025-12-01,228342863.48892885,205022796.57475668,257698786.46698448,214381147.10205862,State Bank of India,dc
2026-01-01,223348503.90847272,191782526.01410893,256323809.30010515,213210344.84866932,State Bank of India,dc
2026-02-01,223245889.8688735,189000419.86992568,259158053.6903943,212045936.71122113,State Bank of India,dc
2026-03-01,223116462.84883508,191461538.73096314,260777416.8253401,210999680.06095207,State Bank of India,dc
2026-04-01,216492120.66893768,177739352.77373922,249291266.06185067,209847345.0527779,State Bank of India,dc
2026-05-01,214027647.63827533,178701750.796349,253317226.35045245,208738174.5162941,State Bank of India,dc
2026-06-01,209320457.66083315,178894633.6772106,257052593.30348778,207598190.29461083,State Bank of India,dc
2026-07-01,205192490.91109744,173552702.8624015,253997758.69240183,206500907.9055677,State Bank of India,dc
2026-08-01,204415893.99625567,169016609.71876633,248680075.284273,205373142.09400263,State Bank of India,dc
2026-09-01,202617722.008209,168952840.15679634,245679902.45492044,204251535.36295915,State Bank of India,dc
2026-10-01,209047216.43931368,173146320.64009577,248403764.97633365,203171942.07561606,State Bank of India,dc
2026-11-01,210569631.08998358,175900082.9866112,250540287.1798283,202062356.78379267,State Bank of India,dc
2026-12-01,211815006.70749536,173667190.58381277,257719650.87457445,200994334.63339645,State Bank of India,dc
2027-01-01,207346145.9612514,168864915.81752896,250140165.37858665,199896641.93438154,State Bank of India,dc
2027-02-01,207445838.14774504,176396889.01208812,249950601.9537125,198804944.0772502,State Bank of India,dc
2027-03-01,217308771.4332569,188687899.24010438,263388902.15411937,197824019.85800454,State Bank of India,dc
2027-04-01,206499069.5818228,172785390.14406043,244627297.8520069,196743641.23588422,State Bank of India,dc
2027-05-01,201476387.32845077,171225553.52609625,243904249.01317233,195703731.72397873,State Bank of India,dc
