date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2017-04-01,11825515.89812199,10760366.464409938,12960523.48088642,11710738.120040871,State Bank Of Travancore,dc
2017-05-01,11688282.691473043,10614754.797745615,12845942.796994355,11787946.228978246,State Bank Of Travancore,dc
2017-06-01,11727939.65846036,10603583.546306323,12796018.03421778,11867727.941546867,State Bank Of Travancore,dc
2017-07-01,11913487.906319795,10784821.375452964,12994363.795027869,11944936.05048424,State Bank Of Travancore,dc
2017-08-01,12355201.619997766,11224559.642800685,13428958.564815924,12024717.76305286,State Bank Of Travancore,dc
2017-09-01,12226636.296634652,11137083.016505908,13401285.130368553,12104499.47562148,State Bank Of Travancore,dc
2017-10-01,11576072.977620408,10539689.948463036,12652544.02656761,12181707.584558856,State Bank Of Travancore,dc
2017-11-01,11842885.13178526,10819025.598714527,12921000.998858023,12261489.297127476,State Bank Of Travancore,dc
2017-12-01,12014797.372225564,10884839.582772953,13144444.446713623,12338697.40606485,State Bank Of Travancore,dc
2018-01-01,12161146.98359833,11062424.045289272,13278383.253282307,12418479.118633471,State Bank Of Travancore,dc
2018-02-01,11606215.12185791,10491156.770852659,12774540.082322408,12498260.831202088,State Bank Of Travancore,dc
2018-03-01,11769847.221968083,10690875.89510252,12913481.176067078,12570321.732876971,State Bank Of Travancore,dc
