date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2020-04-01,13795361.98519883,8028227.124171859,19291703.40376422,13532445.96047993,Syndicate Bank,dc
2020-05-01,0.0,0.0,0.0,13580319.605035845,Syndicate Bank,dc
2020-06-01,0.0,0.0,0.0,13629789.037743626,Syndicate Bank,dc
2020-07-01,0.0,0.0,0.0,13677662.682299541,Syndicate Bank,dc
2020-08-01,0.0,0.0,0.0,13727132.11500732,Syndicate Bank,dc
2020-09-01,0.0,0.0,0.0,13776601.547715101,Syndicate Bank,dc
2020-10-01,0.0,0.0,0.0,13824475.192271017,Syndicate Bank,dc
2020-11-01,0.0,0.0,0.0,13873944.624978798,Syndicate Bank,dc
2020-12-01,0.0,0.0,0.0,13921818.269534715,Syndicate Bank,dc
2021-01-01,0.0,0.0,0.0,13971287.702242495,Syndicate Bank,dc
2021-02-01,0.0,0.0,0.0,14020757.134950275,Syndicate Bank,dc
2021-03-01,0.0,0.0,0.0,14065439.203202462,Syndicate Bank,dc
