date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,13241303.86461702,13072333.840002194,13197168.312804202,13241303.86461702,UCO Bank,dc
2025-07-01,13552658.81529754,13306566.126024658,13422496.725845352,13552658.81529754,UCO Bank,dc
2025-08-01,13765796.433986308,13348788.519889193,13578770.643188084,13765796.433986308,UCO Bank,dc
2025-09-01,13954313.062012512,13372278.471264597,13834085.379925655,13954313.062012512,UCO Bank,dc
2025-10-01,13966265.273212576,13225665.71251407,13973365.52814883,13966265.273212576,UCO Bank,dc
2025-11-01,13947629.318978831,13117907.352221295,16164261.641511748,13947629.318978831,UCO Bank,dc
2025-12-01,12263224.132987006,11257151.933281181,14360199.887353715,12263224.132987006,UCO Bank,dc
2026-01-01,12499354.139020953,11315535.867528884,14474629.959874637,12499354.139020953,UCO Bank,dc
2026-02-01,12704324.647951834,11446712.187418384,14544047.120622244,12704324.647951834,UCO Bank,dc
2026-03-01,12869272.691299696,11697130.471503288,14594725.406265544,12869272.691299696,UCO Bank,dc
2026-04-01,12987013.44724611,11932232.100795498,14499330.083314108,12987013.44724611,UCO Bank,dc
2026-05-01,13168015.233744575,13860981.487202529,14768203.824083036,13168015.233744575,UCO Bank,dc
2026-06-01,13331652.611668417,13823135.833762325,14786033.677074691,13331652.611668417,UCO Bank,dc
2026-07-01,13645132.015336804,13960065.676918903,14980208.602038532,13645132.015336804,UCO Bank,dc
2026-08-01,13859723.925501699,14044928.201619161,15045258.009295769,13859723.925501699,UCO Bank,dc
2026-09-01,14049526.849804237,14191753.421568716,15272980.78548505,14049526.849804237,UCO Bank,dc
2026-10-01,14061560.61394168,14025629.993721118,15347912.135960693,14061560.61394168,UCO Bank,dc
2026-11-01,14042797.50191402,13853448.405364603,17510214.56685762,14042797.50191402,UCO Bank,dc
2026-12-01,12346899.196502523,11808868.886651456,15659438.242255675,12346899.196502523,UCO Bank,dc
2027-01-01,12584640.376843229,11771641.64130402,15721269.54790426,12584640.376843229,UCO Bank,dc
2027-02-01,12791009.451010266,11754501.397138499,15759847.58047127,12791009.451010266,UCO Bank,dc
2027-03-01,12957082.976264695,11906770.689723263,15729500.151671898,12957082.976264695,UCO Bank,dc
2027-04-01,13075627.1069454,11976025.577843724,15671594.294139696,13075627.1069454,UCO Bank,dc
2027-05-01,13257863.91406991,13715522.33440582,16161775.176708598,13257863.91406991,UCO Bank,dc
