date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,-5146314.60738215,-10703033.902991407,405387.8752983995,-1951345.9059861384,Union Bank,dc
2025-07-01,-2865365.0301931947,-8457545.941381043,2735966.853782587,-2227329.2594071445,Union Bank,dc
2025-08-01,-2254768.140305943,-7811002.620076233,3401638.186216265,-2512512.0579421893,Union Bank,dc
2025-09-01,-2147696.545910785,-7843104.66410109,3583627.2741538356,-2797694.8564772285,Union Bank,dc
2025-10-01,-1814358.0483886132,-7453266.750594995,3697859.948004945,-3073678.209898235,Union Bank,dc
2025-11-01,-808116.9102831758,-6413110.339392658,4970823.134183911,-3358861.008433279,Union Bank,dc
2025-12-01,-4129063.1433140687,-9573803.695499022,1772078.5617559252,-3634844.3618542855,Union Bank,dc
2026-01-01,-7332627.304737903,-12725991.560725953,-1778351.9354447376,-3920027.1603893302,Union Bank,dc
2026-02-01,-6193196.8975248,-12203038.603929723,-855354.8545647466,-4205209.958924375,Union Bank,dc
2026-03-01,-4841096.58512177,-9935242.256187225,398996.2587066428,-4462794.42211731,Union Bank,dc
2026-04-01,-6014818.875199069,-11499433.639558326,-602142.6289460056,-4747977.220652354,Union Bank,dc
2026-05-01,-6103779.159265975,-11832251.036631975,-499330.0196682211,-5023960.574073366,Union Bank,dc
