date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2025-06-01,58496336.54991774,56640585.370315365,60396833.94339538,58600135.1108972,Union Bank of India,dc
2025-07-01,58914849.23631133,57057232.30557697,60807030.63770283,58904530.34040373,Union Bank of India,dc
2025-08-01,59345705.92471975,57439017.75132252,61324888.13780542,59220733.27447707,Union Bank of India,dc
2025-09-01,59872098.64154574,57916739.68807764,61803750.52124869,59538633.60420474,Union Bank of India,dc
2025-10-01,60210679.379032426,58262520.28687794,62255872.69595176,59847903.8132458,Union Bank of India,dc
2025-11-01,60760570.376070224,58728382.821957886,62771456.87569864,60169170.83073115,Union Bank of India,dc
2025-12-01,60405940.27781076,58548374.46821944,62578939.62190896,60481716.33120508,Union Bank of India,dc
2026-01-01,59548247.7220033,57591208.6884201,61424470.27550437,60806385.69097667,Union Bank of India,dc
2026-02-01,59850227.33561922,57937471.76033093,61854193.44557561,61132797.89466583,Union Bank of India,dc
2026-03-01,60773741.93218547,58781154.080663845,62731629.138446085,61429127.61310656,Union Bank of India,dc
2026-04-01,61308566.1671113,59341176.70548023,63298106.791908816,61758882.7314825,Union Bank of India,dc
2026-05-01,61536846.31297274,59495643.70469182,63662307.76765432,62079685.90422488,Union Bank of India,dc
2026-06-01,62186382.92297302,60135573.14109946,64215509.24707274,62412933.257166974,Union Bank of India,dc
2026-07-01,62639759.86970268,60615099.10799231,64705624.638761945,62737133.85989971,Union Bank of India,dc
2026-08-01,63202857.28356829,61124298.93522038,65222990.31705026,63073910.4315259,Union Bank of India,dc
2026-09-01,63933253.1958765,61855529.04839773,65972754.66191311,63412494.839283526,Union Bank of India,dc
2026-10-01,64373927.83425861,62306588.19363562,66428509.315271,63741887.610455,Union Bank of India,dc
2026-11-01,64891454.32622035,62748395.60300909,67106655.795741126,64084057.758376434,Union Bank of India,dc
2026-12-01,63420222.45885965,61449931.71112539,65620195.87851973,64416938.92671622,Union Bank of India,dc
2027-01-01,63772718.398459665,61771755.84229563,65981456.12968137,64762732.78918087,Union Bank of India,dc
2027-02-01,63986968.74345648,61933945.66626099,66131763.11911602,65110382.89311615,Union Bank of India,dc
2027-03-01,64696046.64582968,62729956.64480327,66949562.84957818,65425993.205018595,Union Bank of India,dc
2027-04-01,65301256.81192696,63275573.00874507,67429413.52262144,65777203.72926083,Union Bank of India,dc
2027-05-01,65498118.49075776,63256135.86079111,67579645.94549331,66118879.85253759,Union Bank of India,dc
