date,forecast,forecast_lower,forecast_upper,trend,bank_name,card_type
2020-04-01,10979625.496844063,8540798.879065583,13504451.582114326,10858798.80437343,United Bank Of India,dc
2020-05-01,0.0,0.0,0.0,10897077.94749355,United Bank Of India,dc
2020-06-01,0.0,0.0,0.0,10936633.062051006,United Bank Of India,dc
2020-07-01,0.0,0.0,0.0,10974912.205171127,United Bank Of India,dc
2020-08-01,0.0,0.0,0.0,11014467.319728583,United Bank Of India,dc
2020-09-01,0.0,0.0,0.0,11054022.434286041,United Bank Of India,dc
2020-10-01,0.0,0.0,0.0,11092301.57740616,United Bank Of India,dc
2020-11-01,0.0,0.0,0.0,11131856.691963619,United Bank Of India,dc
2020-12-01,0.0,0.0,0.0,11170135.835083738,United Bank Of India,dc
2021-01-01,0.0,0.0,0.0,11209690.949641196,United Bank Of India,dc
2021-02-01,0.0,0.0,0.0,11249246.064198652,United Bank Of India,dc
2021-03-01,0.0,0.0,0.0,11284973.264444098,United Bank Of India,dc
