date,source_format,credit_cards_outstanding_lakh,debit_cards_outstanding_lakh,credit_card_vol_lakh,credit_card_val_cr,credit_card_pos_vol_lakh,credit_card_pos_val_cr,credit_card_other_vol_lakh,credit_card_other_val_cr,debit_card_vol_lakh,debit_card_val_cr,debit_card_pos_vol_lakh,debit_card_pos_val_cr,debit_card_other_vol_lakh,debit_card_other_val_cr,pos_terminals_lakh,upi_qr_lakh,bharat_qr_lakh,repo_rate
2013-01-01,old,190.38319,3203.50288,372.16857,11514.84472,,,,,4946.20176,157489.9869,,,,,,0.0,,7.75
2013-02-01,old,192.35148,3256.51757,331.2148123,10221.02056,,,,,4684.86036,145179.2617,,,,,,0.0,,7.75
2013-03-01,old,195.54297,3311.9672,358.42252,11271.02713,,,,,5273.81264,162327.8657,,,,,,0.0,,7.5
2013-04-01,old,195.53677,3368.66879,379.68114,12550.998181,,,,,5187.05063,164173.63271,,,,,,0.0,,7.5
2013-05-01,old,195.89918,3422.45876,405.1003,12597.201515,,,,,5253.48452,169144.67288,,,,,,0.0,,7.25
2013-06-01,old,191.32467,3485.11646,370.18287,11501.679309,,,,,5157.85778,164389.606578,,,,,,0.0,,7.25
2013-07-01,old,187.82298,3554.17741,444.27342,12677.071651,,,,,5393.12525,165586.491054,,,,,,0.0,,7.25
2013-08-01,old,184.43838,3623.37081,433.91518,12342.967607,,,,,5521.3138,165071.225912,,,,,,0.0,,7.25
2013-09-01,old,185.74936,3677.94961,420.41541,12056.12737,,,,,5470.06065,162174.5486,,,,,,0.0,,7.5
2013-10-01,old,185.78309,3741.92339,453.75181,13639.116862,,,,,5931.65856,183063.885756,,,,,,0.0,,7.75
2013-11-01,old,187.47076,3814.6428,420.7424,12788.68145,,,,,5618.69672,174655.413219,,,,,,0.0,,7.75
2013-12-01,old,186.86136,3725.06779,459.10624,13657.392398,,,,,5826.47021,178096.712238,,,,,,0.0,,7.75
2014-01-01,old,189.7416,3803.32001,458.52754,14312.607085,,,,,5922.20737,180729.563719,,,,,,0.0,,8.0
2014-02-01,old,190.5221,3865.8243,410.63222,12833.0794,,,,,5504.2537,165013.517,,,,,,0.0,,8.0
2014-03-01,old,191.81567,3944.21738,464.01963,14714.900207,,,,,6284.78994,188186.958496,,,,,,0.0,,8.0
2014-04-01,old,192.26475,3996.52017,467.41745,14739.887034,,,,,6103.00727,183031.039181,,,,,,0.0,,8.0
2014-05-01,old,193.91237,4017.2,475.49989,15213.0,,,,,6273.5,196957.0,,,,,,0.0,,8.0
2014-06-01,old,194.7655,4090.34442,485.689,15027.124972,,,,,6153.72348,188558.522594,,,,,,0.0,,8.0
2014-07-01,old,196.14232,4139.19085,512.40307,15380.46862,,,,,6476.00277,195390.153607,,,,,,0.0,,8.0
2014-08-01,old,197.8,4239.5,508.5,15251.0,,,,,6549.5,192987.0,,,,,,0.0,,8.0
2014-09-01,old,198.84463,4310.43405,505.02809,15366.62051,,,,,6565.59782,195197.9947,,,,,,0.0,,8.0
2014-10-01,old,199.54598,4440.27326,549.25273,17313.71268,,,,,6763.99308,204257.3055,,,,,,0.0,,8.0
2014-11-01,old,201.4,4659.8,486.6,15182.0,,,,,6357.2,193497.0,,,,,,0.0,,8.0
2014-12-01,old,203.6,5000.8,565.3,17438.0,,,,,6646.8,211079.0,,,,,,0.0,,8.0
2015-01-01,old,206.12165,5247.87926,565.82337,17567.2603,,,,,6770.40623,203763.223,,,,,,0.0,,7.75
2015-02-01,old,208.57696,5380.31734,499.15966,15650.2534,,,,,6382.91073,174970.3825,,,,,,0.0,,7.75
2015-03-01,old,211.10653,5534.51553,573.4422,18133.1943,,,,,7003.10861,209576.3035,,,,,,0.0,,7.5
2015-04-01,old,212.87902,5646.36256,577.39749,18150.8365,,,,,6961.14948,211558.0333,,,,,,0.0,,7.5
2015-05-01,old,214.80389,5708.09719,605.98617,19098.8937,,,,,7255.9558,221398.3784,,,,,,0.0,,7.5
2015-06-01,old,216.41454,5757.56915,626.37274,17453.0082,,,,,7061.01537,209199.1852,,,,,,0.0,,7.25
2015-07-01,old,220.00749,5868.03158,652.43833,19847.9814,,,,,7501.4113,221792.3,,,,,,0.0,,7.25
2015-08-01,old,223.32767,5985.08555,659.95411,20157.2089,,,,,7691.9211,220998.1983,,,,,,0.0,,7.25
2015-09-01,old,224.4696,6033.50917,628.96177,19268.4147,,,,,7452.35698,213802.6573,,,,,,0.0,,6.75
2015-10-01,old,228.80607,6107.78103,694.3686,21907.9485,,,,,8032.5,234436.0,,,,,,0.0,,6.75
2015-11-01,old,224.75006,6246.3,665.33933,21027.0,,,,,7744.5,229929.0,,,,,,0.0,,6.75
2015-12-01,old,227.46723,6431.9,699.00015,21469.0,,,,,8161.2,235044.0,,,,,,0.0,,6.75
2016-01-01,old,237.82202,6533.63198,702.24396,21439.0409,,,,,8175.05597,232798.9053,,,,,,0.0,,6.75
2016-02-01,old,241.26523,6583.78788,676.33518,20908.3046,,,,,7987.03414,227061.0143,,,,,,0.0,,6.75
2016-03-01,old,245.05219,6615.36018,728.32925,22974.6155,,,,,8445.90741,238045.3653,,,,,,0.0,,6.75
2016-04-01,old,248.59919,6711.87187,734.19402,23010.9654,,,,,8516.83079,240013.2278,,,,,,0.0,,6.5
2016-05-01,old,251.47902,6800.1068,790.57403,25244.3547,,,,,8715.35846,235736.4351,,,,,,0.0,,6.5
2016-06-01,old,255.42269,6911.42157,768.97923,24241.0773,,,,,8503.74592,235948.087,,,,,,0.0,,6.5
2016-07-01,old,259.43794,6972.22455,800.47048,24633.6555,,,,,8812.03432,236256.9932,,,,,,0.0,,6.5
2016-08-01,old,263.7894,7124.65787,846.01242,26052.8286,,,,,8872.67444,238027.9944,,,,,,0.0,,6.5
2016-09-01,old,268.56758,7281.95958,785.30855,24482.9624,,,,,8673.25283,237908.3498,,,,,,0.0,,6.5
2016-10-01,old,273.44842,7482.78909,894.85806,30242.081,,,,,9426.51385,276722.731,,,,,,0.0,,6.25
2016-11-01,old,277.83026,7511.97796,983.14444,26698.7031,,,,,7978.22285,155625.8993,,,,,,0.0,,6.25
2016-12-01,old,283.21039,7644.31356,1164.58762,31237.21,,,,,10459.2819,142965.3322,,,,,,0.0,,6.25
2017-01-01,old,288.45858,7785.65537,1132.42575,32862.2248,,,,,10409.70708,200647.8613,,,,,,0.0,,6.25
2017-02-01,old,290.78655,7594.21228,953.50347,28895.21,,,,,9443.16668,228681.5305,,,,,,0.0,,6.25
2017-03-01,old,298.42235,7716.49172,1080.99506,33619.6126,,,,,9812.80948,261644.8699,,,,,,0.0,,6.25
2017-04-01,old,303.74102,7807.95417,1070.59782,33375.6276,,,,,9331.59663,254916.7912,,,,,,0.0,,6.25
2017-05-01,old,308.56236,7903.57565,1158.76892,36401.5865,,,,,9253.17377,254169.5644,,,,,,0.0,,6.25
2017-06-01,old,314.777,7975.41881,1100.26442,35750.3122,,,,,9276.3674,263783.246,,,,,,0.0,,6.25
2017-07-01,old,320.56929,8040.51123,1113.75512,34214.5921,,,,,9651.69762,262207.1607,,,,,,0.0,,6.25
2017-08-01,old,326.45679,8108.68624,1159.85835,36603.3304,,,,,9860.32912,270961.1023,,,,,,0.0,,6.0
2017-09-01,old,333.42644,8197.62867,1132.86775,37776.105,,,,,9927.78673,278886.0684,,,,,,0.0,,6.0
2017-10-01,old,338.70443,8262.5473,1240.43614,42259.991,,,,,10218.70737,294461.4036,,,,,,0.0,,6.0
2017-11-01,old,347.75605,8328.88354,1165.8753,39616.6,,,,,10022.96886,285791.468,,,,,,0.0,,6.0
2017-12-01,old,354.96202,8424.71191,1244.82521,42197.7305,,,,,10543.19993,304799.2159,,,,,,0.0,,6.0
2018-01-01,old,362.3824,8466.97494,1307.25181,41778.0449,,,,,10429.39253,296124.362,,,,,,0.0,,6.0
2018-02-01,old,369.35373,8554.45369,1154.42603,37981.3654,,,,,10002.84078,284523.7905,,,,,,0.0,,6.0
2018-03-01,old,374.84955,8610.76,1280.77981,44677.4008,,,,,10938.42969,308206.8938,,,,,,0.0,,6.0
2018-04-01,old,377.82876,9063.56781,1330.45787,45176.5883,,,,,10927.0469,310254.203,,,,,,0.0,,6.0
