ds,yhat,scenario,repo_rate
2026-05-01,1214.9571510752676,base,6.25
2026-06-01,1218.0053107482559,base,6.25
2026-07-01,1227.759649070564,base,6.25
2026-08-01,1230.1090185568607,base,6.25
2026-09-01,1236.2482721980557,base,6.25
2026-10-01,1250.4469453165457,base,6.25
2026-11-01,1249.6685053400893,base,6.25
2026-12-01,1263.9263711158985,base,6.25
2027-01-01,1279.7024390096246,base,6.25
2027-02-01,1290.0360280644552,base,6.25
2027-03-01,1289.1018487551166,base,6.25
2027-04-01,1302.3866680337135,base,6.25
2027-05-01,1314.622012178599,base,6.25
2027-06-01,1316.8409757265447,base,6.25
2027-07-01,1327.182728271488,base,6.25
2027-08-01,1328.5412371813645,base,6.25
2027-09-01,1332.9373355192079,base,6.25
2027-10-01,1351.357706706587,base,6.25
2027-11-01,1342.6622712101555,base,6.25
2027-12-01,1360.795822657144,base,6.25
2028-01-01,1381.6392664908788,base,6.25
2028-02-01,1393.9466565865894,base,6.25
2028-03-01,1404.6036297179496,base,6.25
2028-04-01,1404.1879143082117,base,6.25
2026-05-01,1232.9198449660444,hawkish_100bp,7.25
2026-06-01,1235.9680046390326,hawkish_100bp,7.25
2026-07-01,1245.7223429613407,hawkish_100bp,7.25
2026-08-01,1248.0717124476375,hawkish_100bp,7.25
2026-09-01,1254.2109660888325,hawkish_100bp,7.25
2026-10-01,1268.4096392073225,hawkish_100bp,7.25
2026-11-01,1267.631199230866,hawkish_100bp,7.25
2026-12-01,1281.8890650066753,hawkish_100bp,7.25
2027-01-01,1297.6651329004014,hawkish_100bp,7.25
2027-02-01,1307.998721955232,hawkish_100bp,7.25
2027-03-01,1307.0645426458934,hawkish_100bp,7.25
2027-04-01,1320.3493619244903,hawkish_100bp,7.25
2027-05-01,1332.584706069376,hawkish_100bp,7.25
2027-06-01,1334.8036696173215,hawkish_100bp,7.25
2027-07-01,1345.1454221622648,hawkish_100bp,7.25
2027-08-01,1346.5039310721413,hawkish_100bp,7.25
2027-09-01,1350.9000294099847,hawkish_100bp,7.25
2027-10-01,1369.3204005973637,hawkish_100bp,7.25
2027-11-01,1360.6249651009323,hawkish_100bp,7.25
2027-12-01,1378.7585165479209,hawkish_100bp,7.25
2028-01-01,1399.6019603816555,hawkish_100bp,7.25
2028-02-01,1411.9093504773662,hawkish_100bp,7.25
2028-03-01,1422.5663236087264,hawkish_100bp,7.25
2028-04-01,1422.1506081989885,hawkish_100bp,7.25
2026-05-01,1196.9944571844908,dovish_100bp,5.25
2026-06-01,1200.042616857479,dovish_100bp,5.25
2026-07-01,1209.7969551797871,dovish_100bp,5.25
2026-08-01,1212.146324666084,dovish_100bp,5.25
2026-09-01,1218.285578307279,dovish_100bp,5.25
2026-10-01,1232.484251425769,dovish_100bp,5.25
2026-11-01,1231.7058114493125,dovish_100bp,5.25
2026-12-01,1245.9636772251217,dovish_100bp,5.25
2027-01-01,1261.7397451188478,dovish_100bp,5.25
2027-02-01,1272.0733341736784,dovish_100bp,5.25
2027-03-01,1271.1391548643398,dovish_100bp,5.25
2027-04-01,1284.4239741429367,dovish_100bp,5.25
2027-05-01,1296.6593182878223,dovish_100bp,5.25
2027-06-01,1298.878281835768,dovish_100bp,5.25
2027-07-01,1309.2200343807112,dovish_100bp,5.25
2027-08-01,1310.5785432905877,dovish_100bp,5.25
2027-09-01,1314.974641628431,dovish_100bp,5.25
2027-10-01,1333.39501281581,dovish_100bp,5.25
2027-11-01,1324.6995773193787,dovish_100bp,5.25
2027-12-01,1342.8331287663673,dovish_100bp,5.25
2028-01-01,1363.676572600102,dovish_100bp,5.25
2028-02-01,1375.9839626958126,dovish_100bp,5.25
2028-03-01,1386.6409358271728,dovish_100bp,5.25
2028-04-01,1386.225220417435,dovish_100bp,5.25
2026-05-01,1246.3918653841272,extreme_hawk,8.0
2026-06-01,1249.4400250571155,extreme_hawk,8.0
2026-07-01,1259.1943633794235,extreme_hawk,8.0
2026-08-01,1261.5437328657204,extreme_hawk,8.0
2026-09-01,1267.6829865069153,extreme_hawk,8.0
2026-10-01,1281.8816596254053,extreme_hawk,8.0
2026-11-01,1281.1032196489489,extreme_hawk,8.0
2026-12-01,1295.3610854247581,extreme_hawk,8.0
2027-01-01,1311.1371533184843,extreme_hawk,8.0
2027-02-01,1321.4707423733148,extreme_hawk,8.0
2027-03-01,1320.5365630639762,extreme_hawk,8.0
2027-04-01,1333.821382342573,extreme_hawk,8.0
2027-05-01,1346.0567264874587,extreme_hawk,8.0
2027-06-01,1348.2756900354043,extreme_hawk,8.0
2027-07-01,1358.6174425803476,extreme_hawk,8.0
2027-08-01,1359.9759514902241,extreme_hawk,8.0
2027-09-01,1364.3720498280675,extreme_hawk,8.0
2027-10-01,1382.7924210154465,extreme_hawk,8.0
2027-11-01,1374.096985519015,extreme_hawk,8.0
2027-12-01,1392.2305369660037,extreme_hawk,8.0
2028-01-01,1413.0739807997384,extreme_hawk,8.0
2028-02-01,1425.381370895449,extreme_hawk,8.0
2028-03-01,1436.0383440268092,extreme_hawk,8.0
2028-04-01,1435.6226286170713,extreme_hawk,8.0
