date,cpi_index,cpi_inflation_pct
2011-01-01,89.5,
2011-02-01,88.4,
2011-03-01,88.4,
2011-04-01,89.1,
2011-05-01,89.8,
2011-06-01,90.6,
2011-07-01,91.8,
2011-08-01,92.7,
2011-09-01,93.8,
2011-10-01,94.8,
2011-11-01,95.2,
2011-12-01,94.7,
2012-01-01,95.1,6.26
2012-02-01,95.5,8.03
2012-03-01,96.4,9.05
2012-04-01,97.8,9.76
2012-05-01,98.6,9.8
2012-06-01,99.8,10.15
2012-07-01,101.1,10.13
2012-08-01,102.2,10.25
2012-09-01,102.9,9.7
2012-10-01,103.6,9.28
2012-11-01,104.3,9.56
2012-12-01,104.6,10.45
2013-01-01,105.1,10.52
2013-02-01,105.3,
2013-03-01,105.5,
2013-04-01,106.1,
2013-05-01,107.5,9.03
2013-06-01,109.3,
2013-07-01,111.0,
2013-08-01,112.4,
2013-09-01,113.7,
2013-10-01,114.8,
2013-11-01,116.3,
2013-12-01,114.5,
2014-01-01,113.6,8.6
2014-02-01,113.6,7.88
2014-03-01,114.2,8.25
2014-04-01,115.1,8.48
2014-05-01,115.8,8.33
2014-06-01,116.7,6.77
2014-07-01,119.2,7.39
2014-08-01,120.3,7.03
2014-09-01,120.1,5.63
2014-10-01,120.1,4.62
2014-11-01,120.1,3.27
2014-12-01,119.4,4.28
2015-01-01,119.5,5.19
2015-02-01,119.7,5.37
2015-03-01,120.2,5.25
2015-04-01,120.7,4.87
2015-05-01,121.6,5.01
2015-06-01,123.0,5.4
2015-07-01,123.6,3.69
2015-08-01,124.8,3.74
2015-09-01,125.4,4.41
2015-10-01,126.1,5.0
2015-11-01,126.6,5.41
2015-12-01,126.1,5.61
2016-01-01,126.3,5.69
2016-02-01,126.0,5.26
2016-03-01,126.0,4.83
2016-04-01,127.3,5.47
2016-05-01,128.6,5.76
2016-06-01,130.1,5.77
2016-07-01,131.1,6.07
2016-08-01,131.1,5.05
2016-09-01,130.9,4.39
2016-10-01,131.4,4.2
2016-11-01,131.2,3.63
2016-12-01,130.4,3.41
2017-01-01,130.3,3.17
2017-02-01,130.6,3.65
2017-03-01,130.9,3.89
2017-04-01,131.1,2.99
2017-05-01,131.4,2.18
2017-06-01,132.0,1.46
2017-07-01,134.2,2.36
2017-08-01,135.4,3.28
2017-09-01,135.2,3.28
2017-10-01,136.1,3.58
2017-11-01,137.6,4.88
2017-12-01,137.2,5.21
2018-01-01,136.9,5.07
2018-02-01,136.4,4.44
2018-03-01,136.5,4.28
2018-04-01,137.1,4.58
2018-05-01,137.8,4.87
2018-06-01,138.5,4.92
2018-07-01,139.8,4.17
2018-08-01,140.4,3.69
2018-09-01,140.2,3.7
2018-10-01,140.7,3.38
2018-11-01,140.8,2.33
2018-12-01,140.1,2.11
2019-01-01,139.6,1.97
2019-02-01,139.9,2.57
2019-03-01,140.4,2.86
2019-04-01,141.2,2.99
2019-05-01,142.0,3.05
2019-06-01,142.9,3.18
2019-07-01,144.2,3.15
2019-08-01,145.0,3.28
2019-09-01,145.8,3.99
2019-10-01,147.2,4.62
2019-11-01,148.6,5.54
2019-12-01,150.4,7.35
2020-01-01,150.2,7.59
2020-02-01,149.1,6.58
2020-03-01,148.6,5.84
2020-04-01,151.4,
2020-05-01,150.9,
2020-06-01,151.8,6.23
2020-07-01,153.9,6.73
2020-08-01,154.7,6.69
2020-09-01,156.4,7.27
2020-10-01,158.4,7.61
2020-11-01,158.9,6.93
2020-12-01,157.3,4.59
2021-01-01,156.3,4.06
2021-02-01,156.6,5.03
2021-03-01,156.8,5.52
2021-04-01,157.8,4.23
2021-05-01,160.4,6.3
2021-06-01,161.3,6.26
2021-07-01,162.5,5.59
2021-08-01,162.9,5.3
2021-09-01,163.2,4.35
2021-10-01,165.5,4.48
2021-11-01,166.7,4.91
2021-12-01,166.2,5.66
2022-01-01,165.7,6.01
2022-02-01,166.1,6.07
2022-03-01,167.7,6.95
2022-04-01,170.1,7.79
2022-05-01,171.7,7.04
2022-06-01,172.6,7.01
2022-07-01,173.4,6.71
2022-08-01,174.3,7.0
2022-09-01,175.3,7.41
2022-10-01,176.7,6.77
2022-11-01,176.5,5.88
2022-12-01,175.7,5.72
2023-01-01,176.5,6.52
2023-02-01,176.8,6.44
2023-03-01,177.2,5.66
2023-04-01,178.1,4.7
2023-05-01,179.1,4.31
2023-06-01,181.0,4.87
2023-07-01,186.3,7.44
2023-08-01,186.2,6.83
2023-09-01,184.1,5.02
2023-10-01,185.3,4.87
2023-11-01,186.3,5.55
2023-12-01,185.7,5.69
2024-01-01,185.5,5.1
2024-02-01,185.8,5.09
2024-03-01,185.8,4.85
2024-04-01,186.7,4.83
2024-05-01,187.7,4.8
2024-06-01,190.2,5.08
2024-07-01,193.0,3.6
2024-08-01,193.0,3.65
2024-09-01,194.2,5.49
2024-10-01,196.8,6.21
2024-11-01,196.5,5.48
2024-12-01,195.4,5.22
2025-01-01,193.4,4.26
2025-02-01,192.5,3.61
2025-03-01,192.0,3.34
2025-04-01,192.6,3.16
2025-05-01,193.0,2.82
2025-06-01,194.2,2.1
2025-07-01,196.1,1.61
2025-08-01,197.0,2.07
2025-09-01,197.0,1.44
2025-10-01,197.3,0.25
2025-11-01,197.9,0.71
2025-12-01,198.0,1.33
