horizon,mse,rmse,mae,mape,mdape,smape,coverage
52 days,91377.89263269099,302.28776460963644,216.19102015056689,0.11229579213954277,0.06933029911927757,0.10506186474602022,0.5
53 days,91691.86773373048,302.806650742236,219.6808675492845,0.11394399655705782,0.06933029911927757,0.10661356007105538,0.45
54 days,91398.7211132381,302.3222140585076,218.6705915578209,0.11215434908693345,0.06933029911927757,0.10500253554255745,0.425
55 days,129491.99746813434,359.84996521902616,258.56729996555913,0.14405999022786053,0.06933029911927757,0.12791318947856262,0.4
56 days,143356.8735094495,378.6249773977537,284.467593801338,0.1579833616975584,0.07305346606831892,0.13937723198065816,0.45
57 days,119844.35429807803,346.1854333996132,258.7892311099317,0.13249260944551064,0.06933029911927757,0.12100330182894828,0.5
58 days,102853.66689436436,320.70807114003907,236.00237955222028,0.11712565378952564,0.06933029911927757,0.10759794147044965,0.55
59 days,102178.29217628014,319.65339381317403,237.0392004165361,0.11677682429968546,0.06933029911927757,0.10715003342432179,0.575
60 days,104999.76706341801,324.03667549124435,244.4019630800898,0.11785773932365129,0.06933029911927757,0.10825453747346694,0.55
61 days,135680.11415630358,368.34781682033025,284.1821731034679,0.12428571099197387,0.08657901812806298,0.11536472693414324,0.45
81 days,134088.41155011443,366.18084541673454,278.5354891408509,0.12501184991767827,0.08657901812806298,0.11585652819861503,0.4
82 days,115923.34444431045,340.4751744904619,249.9175638598368,0.11962906495566876,0.07679167425305741,0.11004025352633348,0.45
83 days,114125.25007521587,337.8242887585436,244.28398411736572,0.12063311505096772,0.08654755274274217,0.11076925190777406,0.4
84 days,113201.34392331036,336.45407401800077,241.45124106374524,0.11792108249430837,0.07679167425305741,0.1083461416564594,0.425
85 days,145563.63819520344,381.52803068084455,275.19506866614273,0.1433950284222665,0.08654755274274217,0.1268150959357432,0.425
86 days,145531.6790805061,381.4861453323123,275.02659235669023,0.14310101511169254,0.08654755274274217,0.1265328294106242,0.45
87 days,120269.97497340299,346.7996178968526,264.21759067317106,0.12498658897879981,0.09485597119751246,0.11662608970956416,0.45
88 days,108808.4508732277,329.861260037046,246.65829950608105,0.11121986966744717,0.08061179847396407,0.10516627758384609,0.5
89 days,111029.59528918742,333.2110371659189,254.01583258126038,0.11351002065681529,0.08888875154341355,0.1075344255906524,0.475
90 days,118985.99220788383,344.943462335328,268.3403431613457,0.11436328605254291,0.08888875154341355,0.10829828159139457,0.425
91 days,143352.42428523506,378.6191018493851,292.7697383353703,0.11705911001899587,0.08888875154341355,0.11135773537536506,0.4
92 days,153381.51334512688,391.6395196416302,306.9127368269377,0.11950414371812954,0.09485597119751246,0.1140411466119811,0.35
112 days,147867.09226744232,384.53490383506454,293.4915559096578,0.11783020905772161,0.08888875154341355,0.11203944288598595,0.35
113 days,130915.85954423051,361.8229671320361,265.2723736689147,0.11180595339122727,0.08038875023304545,0.10556270460252035,0.4
114 days,115153.89073910585,339.3433228149713,241.1285605939113,0.1092616386006775,0.08038875023304545,0.1021645243032366,0.45
115 days,116438.64842097778,341.2310777478772,247.73410717741504,0.11393692464587554,0.08888875154341355,0.1065161341392941,0.4
116 days,143437.1447384081,378.7309661730977,279.95235015618226,0.13591901667515605,0.09892576008319046,0.12329035304832339,0.4
117 days,143373.310456666,378.6466828808434,279.20803994975745,0.1352808631060097,0.09892576008319046,0.12266784506653772,0.4
118 days,118763.8525337417,344.6213175845941,266.41096093147223,0.11805986066946998,0.11504587159056598,0.11290568872066531,0.35
119 days,116170.59800855478,340.8380818050629,261.1879301185609,0.11281853871523735,0.10784923664160664,0.10841365074111446,0.35
120 days,110452.62777599187,332.3441405771913,250.29218360952086,0.10663376851303674,0.09187647383305164,0.10278771632785173,0.4
121 days,120215.8287063135,346.72154347013617,266.06433750196646,0.10824349803015856,0.10784923664160664,0.10492381423205457,0.35
122 days,141490.35195038782,376.1520330270565,285.5897722812347,0.10900160922641296,0.10784923664160664,0.10580258198807009,0.35
123 days,138976.01048057186,372.79486380658716,282.9497900910794,0.1078972596700207,0.09073097950012432,0.10457130327534148,0.35
142 days,132957.99667609148,364.6340585794085,273.3071995740307,0.10979236154748169,0.10784923664160664,0.10570790872887752,0.35
143 days,93490.99851584,305.76297767362223,219.123621851373,0.10211850868195205,0.07705883706730574,0.09688386951686531,0.35
144 days,93448.54547361367,305.69354830223955,218.81196617704,0.10138540910687714,0.07705883706730574,0.09618885362428127,0.35
145 days,99334.51428655355,315.173784262831,232.26361755899853,0.10840881611191075,0.07705883706730574,0.10236673727399379,0.325
146 days,99205.94300787269,314.96974935360487,233.50470842920822,0.10758558867737748,0.07705883706730574,0.10172542186628308,0.35
147 days,102882.90269190697,320.75364797911027,245.77418373058146,0.11255325095651676,0.09073097950012432,0.1069383231005792,0.375
148 days,95950.08677871418,309.7581101096696,246.46577938255996,0.10701814374239912,0.09073097950012432,0.10460020554525125,0.35
149 days,99925.15923964037,316.1094102358238,252.39972916003777,0.10821688297224208,0.09073097950012432,0.10651490674489958,0.35
