date,forecast_lakh,forecast_lower_lakh,forecast_upper_lakh,trend_component,seasonality_component,forecast_prophet_lakh,forecast_arima_lakh,forecast_arimax_lakh,forecast_ets_lakh,forecast_direct_lakh
2026-05-01,10193.9329083683,10068.179903194137,10343.463387852296,10565.610621872134,-37.08182372556579,10265.913410349192,10169.939407708005,10166.082679944697,10154.967290613171,10169.939407708005
2026-06-01,10162.465848988286,9945.280721697705,10548.966589234178,10584.167828162737,-22.277948093661333,10301.149744626477,10116.237883775555,10109.65387129924,10123.883874929808,10116.237883775555
2026-07-01,10136.309407663628,9563.434642014347,10679.566800471132,10602.12641489558,-11.317655550980016,10331.751141986979,10071.162162889179,10062.711736526573,10093.737942998598,10071.162162889179
2026-08-01,10121.569904216918,9587.817652360798,10759.102218048985,10620.683621186183,23.16906558301347,10386.29943852285,10033.32672611494,10023.660512720317,10089.08340218465,10033.32672611494
2026-09-01,10101.198109841336,9615.319688763784,10841.080821807494,10639.240827476786,17.05922123001861,10400.086629200188,10001.568603388385,9991.173336260603,10072.292568177476,10001.568603388385
2026-10-01,10093.47659155342,9542.741758345104,10877.245036892567,10657.199414209626,46.99751016830076,10449.171486353871,9974.911626619938,9964.146885701059,10076.16088564591,9978.33575585048
2026-11-01,10092.472795567215,9476.560800548552,10992.172099188605,10675.75662050023,90.5027564861703,10512.281908341602,9952.53642464242,9941.663678706052,10069.777514833533,9959.600279056112
2026-12-01,10071.161383985078,9446.472634896338,10909.435052252818,10693.71520723307,42.72309566620526,10483.37982278706,9933.75523771775,9922.960731189269,10021.077068804094,9940.733318938435
2027-01-01,10057.713104015664,9481.076237946952,11218.229041088993,10712.272413523673,16.86586441946129,10476.88008367804,9917.990777461537,9907.403504856477,9997.713889029104,9924.66975753564
2027-02-01,10044.849471062105,9432.752293182699,11444.921366581366,10730.82961981428,-14.140144431422316,10465.122437076641,9904.758482390593,9894.46425060116,9981.971076926347,9910.993044182795
2027-03-01,10061.482276711584,9370.028614788655,11468.367324680494,10747.590967431597,68.35936836085087,10564.974235831072,9893.651623671754,9883.70400585446,9961.149561735465,9899.34852255596
2027-04-01,10049.480618880136,9435.686859568421,11587.575789071188,10766.148173722202,29.264977381598797,10544.936065744736,9884.328803258602,9874.7576292142,9930.523569713005,9952.042344010239
2027-05-01,10025.713371974372,9369.460835395485,11796.69435737077,10784.106760455043,-60.70137350365744,10473.34310748049,9876.503460139,9867.321359764492,9895.251348450969,10014.619552988272
2027-06-01,10033.56399281122,8842.6945536439,11914.442072184333,10802.663966745646,-28.488672961141326,10524.450784822548,9869.935062140778,9861.142475014774,9901.557758282084,10014.603899478836
2027-07-01,10038.154704625387,8940.595973456877,12000.413691522024,10820.622553478486,-11.811765326756868,10559.353680842683,9864.421712552954,9856.010693301214,9903.418851562972,10014.595969917258
2027-08-01,10049.748199491283,8942.35939478262,12122.389327843573,10839.17975976909,29.68508732540786,10619.610965041662,9859.793944307823,9851.751026268834,9926.163466771597,10014.59195305784
2027-09-01,10047.40274681225,9050.855054079842,12217.599835558736,10857.736966059692,13.254572330901343,10621.88245433281,9855.909510972062,9848.21783673867,9932.827288290035,10014.58991824678
2027-10-01,10055.49631193119,9162.246280747626,12277.01188543895,10875.695552792537,37.36003028970071,10664.038204421318,9852.649014434483,9845.289898563584,9956.773628065865,10014.588887477312
2027-11-01,10079.343564844608,9102.144853518543,12375.229253792188,10894.252759083136,122.3586142044389,10767.637554690167,9849.912234896088,9842.866289404814,9967.57776100242,10014.58836532284
2027-12-01,10061.093056976919,8745.834819336374,12409.81950489217,10912.21134581598,38.28954962353325,10701.527076842105,9847.61505035519,9840.86297589558,9933.590431663297,10014.588100816272
2028-01-01,10054.115894766699,8677.79783846604,12443.608729722955,10930.768552106583,-2.352394185031759,10679.403026366825,9845.68685089999,9839.209974375888,9922.822204937049,10014.5879668258
2028-02-01,10047.727079138182,8720.009417361822,12522.057064155619,10949.325758397186,-41.534720661428956,10658.703211562126,9844.0683683302,9837.848990097456,9917.861122201288,10014.587898950562
2028-03-01,10053.071008950219,8814.898181096658,12645.496930320754,10966.685725572268,-33.336986952400125,10684.154472614295,9842.709854395527,9836.73145418466,9906.269152185625,10014.587864567162
2028-04-01,10057.185620518125,8881.134720798173,12778.784171391113,10985.242931862871,-31.88001496105924,10704.033827109115,9841.569551654462,9835.816891258693,9883.543980267423,10014.587847149643
