horizon,mse,rmse,mae,mape,mdape,smape,coverage
46 days,193542.87422236468,439.935079554205,280.4159913941837,0.050801814344908346,0.0417938898874373,0.05054716541430987,0.4594594594594595
47 days,195135.56840719245,441.74151764034184,284.7070836654939,0.050189457243957965,0.0417938898874373,0.04989536011958762,0.4594594594594595
48 days,218765.73239253514,467.72399167942535,316.3647228530874,0.056399478408362236,0.049771422960860436,0.056557246043584544,0.40540540540540543
49 days,222589.5513629351,471.79397130838277,323.3299483817276,0.05691317874098519,0.05018283053315206,0.05698308273688725,0.40540540540540543
50 days,229562.01101831658,479.1262996521028,333.78481145415986,0.057923769481979685,0.05018283053315206,0.05788284781576717,0.3918918918918919
51 days,236739.98808843782,486.5593366573473,344.52904250863963,0.05790812499484127,0.050763126937311706,0.05771524662187536,0.3783783783783784
52 days,237100.063851347,486.92921852292557,340.0484727565583,0.054663144387858305,0.05018283053315206,0.05425672422785148,0.40540540540540543
53 days,321677.59949399286,567.1662891022287,373.35666551061246,0.057988701695465876,0.049771422960860436,0.05701979424181261,0.43243243243243246
54 days,345408.6607031082,587.7147783603099,387.63115564394144,0.0596405867592533,0.049771422960860436,0.05851067039013644,0.43243243243243246
55 days,342432.46147388924,585.1772906341199,382.5810681945069,0.058998695068055294,0.049771422960860436,0.05786795259368519,0.4594594594594595
56 days,288984.4558046632,537.5727446631415,356.575371004792,0.055492537858642936,0.0417938898874373,0.05477357132066496,0.5
57 days,238348.0507989258,488.20902367625877,336.9787946457472,0.052800260065047275,0.040148831225325865,0.052461627742039496,0.5135135135135135
58 days,219583.08347137927,468.59693071058336,316.060440374356,0.050198443923856105,0.03941564360495563,0.049981754183398966,0.5405405405405406
59 days,225564.99643438758,474.9368341520666,324.4023494452014,0.051029079852455486,0.040148831225325865,0.05078174219621256,0.5135135135135135
60 days,226814.77092420153,476.2507437518618,326.8353549055822,0.05121521559734834,0.0417938898874373,0.05092341629813828,0.5135135135135135
61 days,223131.7084446855,472.3681916097712,318.8917161199205,0.050304388680441896,0.040148831225325865,0.04999382499354714,0.5135135135135135
72 days,223353.37728956674,472.6027690244385,319.8060947250904,0.052303972940921095,0.0417938898874373,0.052093571696178544,0.4864864864864865
73 days,223386.21002039732,472.6375038233819,319.90973699851884,0.05391790335204003,0.04459104201470777,0.05379278629703483,0.4594594594594595
74 days,218748.69182302972,467.70577484464496,311.9931019550551,0.05478625124982041,0.04459104201470777,0.054772392193445506,0.44594594594594594
