horizon,mse,rmse,mae,mape,mdape,smape,coverage
27 days,24111.24365984596,155.27795612979313,141.70382632086734,0.10980532942175408,0.10980532942175411,0.11716986830237773,1.0
28 days,21618.66875840843,147.03288325544196,119.4198873597847,0.09771088819202675,0.09771088819202678,0.10581871770061356,1.0
29 days,21035.168079286617,145.03505810419293,117.9880843461359,0.10901597990203662,0.10901597990203665,0.11949922726720688,1.0
57 days,23237.709970722106,152.43920089898828,138.37169322663294,0.12108846641674456,0.12108846641674459,0.13203064230741995,1.0
58 days,92712.58599869137,304.4874151729286,300.4596464606394,0.2373472859069332,0.23734728590693321,0.25646618069936494,1.0
59 days,47756.76563714873,218.5332140365595,176.69180197155373,0.1428123716474971,0.17351571788849976,0.1529689102902836,1.0
87 days,5361.931408315704,73.22521019645968,70.96736476648186,0.053733691132658606,0.05373369113265865,0.05348009659142264,1.0
88 days,63902.599781269804,252.78963543086533,217.62549030368967,0.1800729102384764,0.18007291023847644,0.205876756508325,1.0
89 days,61707.06559085511,248.4090690591934,202.83478566742832,0.17459916731439645,0.17459916731439648,0.2006855701117822,1.0
90 days,25377.69660774808,159.30378717327494,138.36957549792692,0.1314757136069185,0.13147571360691854,0.14381863058567135,1.0
118 days,170147.34955787784,412.4892114442241,379.3351275304333,0.29744754059858763,0.29744754059858763,0.35497527542650753,0.5
119 days,151273.27733422807,388.93865497559904,280.9197838184071,0.2579063683035333,0.2579063683035333,0.3437693677737865,0.5
120 days,96252.70456529809,310.24619992080176,241.98837534657216,0.22571698881821783,0.35001171581457013,0.2790148068451722,0.75
148 days,84419.30496352447,290.55000423941567,280.1387281958096,0.2193886566786841,0.21938865667868407,0.24689342978714138,1.0
149 days,158128.94213398456,397.6542997805815,395.78034291728534,0.31642122746645607,0.316421227466456,0.3801447310173358,0.5
150 days,98910.58648408152,314.50053495039003,265.0495479021182,0.23314845503891116,0.23314845503891113,0.28134552638282895,0.5
151 days,48192.288235530934,219.52742023613118,195.5402177557923,0.18435993041632026,0.18435993041632023,0.21056548505228959,1.0
179 days,64139.16256445424,253.2571076286986,248.98144148136356,0.21623759706795934,0.2162375970679593,0.2462939189804912,1.0
180 days,97141.37513159795,311.6751115049098,297.03681662933826,0.24585114897568977,0.24585114897568977,0.2882577539739971,1.0
181 days,90176.62741927135,300.29423474197995,278.078179415172,0.2507066341376707,0.2507066341376707,0.293916138070477,1.0
182 days,92006.4553531582,303.32565890995477,280.40173596300014,0.2920212788470894,0.2920212788470894,0.3577570867009421,0.5
