date,forecast,forecast_lower,forecast_upper,trend_component,seasonality_component
2026-05-01,22419.30248988894,21371.812523560056,23427.564838381557,21486.16238728441,-0.004814470744916255
2026-06-01,22056.21967260562,21027.585809506727,23092.993659399013,21803.660131535496,-0.03986865505039474
2026-07-01,22977.732761867035,21962.690896908258,24003.458118894203,22110.916013068814,8.153093309570814e-05
2026-08-01,23467.65467592011,22311.6938880547,24496.965692905724,22428.4137573199,0.01895245077199724
2026-09-01,23156.028987910107,22091.88880014728,24243.673591890896,22745.91150157099,-0.009059828640263126
2026-10-01,24345.49357430004,23208.899349067196,25439.593313409718,23053.167383104294,0.034432155000078075
2026-11-01,23823.35946779739,22684.76910097423,24953.84227010719,23370.66512735538,-0.005909689102362045
2026-12-01,24877.06523254216,23705.605654423776,25951.42132956517,23677.921008888694,0.02829752101953731
2027-01-01,24831.908895726083,23604.91219514848,25981.015011122337,23995.41875313978,0.008380229354711093
2027-02-01,23727.830554403496,22626.05615873998,24898.792145651332,24312.91649739087,-0.055320160456245215
2027-03-01,26295.504767206832,25137.22044696659,27581.88845667165,24599.688653488636,0.06505328605223315
2027-04-01,25890.889031537525,24570.470195142618,27105.464544446342,24917.186397739722,0.032188580987526416
