horizon,mse,rmse,mae,mape,mdape,smape,coverage
56 days,2334635.164322013,1527.9512964495998,1229.629146014297,0.18679999096041536,0.14993867789182266,0.22073734043392212,0.0
57 days,2201654.176333684,1483.7972153679505,1164.4820762675088,0.15432126808281363,0.13931884354794144,0.17682146484671907,0.07692307692307693
58 days,2027633.398667117,1423.9499284269505,1092.379728764476,0.12226361688988324,0.1149587278809755,0.1312652301022917,0.07692307692307693
59 days,2084122.141868039,1443.6488984057166,1128.4782075276394,0.12222500101109435,0.1149587278809755,0.1313919960091001,0.07692307692307693
60 days,2548606.9821852436,1596.435711886089,1274.536718253078,0.1295509946623798,0.13206154740948545,0.13982491858453697,0.07692307692307693
61 days,2013299.5424204518,1418.9078696026927,1150.898389965618,0.1141244498098719,0.1066680426360199,0.12185504941795856,0.07692307692307693
85 days,1764611.8703840636,1328.3869430192633,1029.9315971310914,0.11906594700911367,0.1149587278809755,0.127504633001977,0.07692307692307693
86 days,1325718.15736997,1151.3983486916984,865.5976272439216,0.11345236138254318,0.1066680426360199,0.12115753961006939,0.07692307692307693
87 days,1375671.3323399404,1172.8901620953006,911.061612190548,0.11145108290656311,0.1066680426360199,0.11938521708996609,0.07692307692307693
88 days,1413253.6689163393,1188.8034610129378,938.6212800092601,0.10481086086457969,0.1066680426360199,0.11159937778641472,0.038461538461538464
89 days,1396994.10637759,1181.9450521820336,945.0306328874238,0.1033152184107317,0.10026033902794317,0.1095330060754858,0.0
90 days,1647500.4643685468,1283.549946191634,1046.7000644296822,0.10605285865866584,0.10026033902794317,0.11249935690931198,0.0
91 days,1902557.4326346,1379.3322415700286,1119.382113212059,0.10664725935578702,0.10026033902794317,0.11316533796098183,0.0
92 days,1640272.2226989707,1280.7311281838083,1058.1396969414998,0.10046890672514928,0.10026033902794317,0.10599754034506653,0.0
116 days,1438166.5831943853,1199.2358330180036,966.1566154708458,0.1163954964177796,0.10257079221751612,0.12570923394813854,0.0
117 days,1223329.6593668917,1106.0423406754787,857.5047961804526,0.11494514503489775,0.10257079221751612,0.12412409171994376,0.0
118 days,1248712.7988812448,1117.4581866366386,882.364107880449,0.10981278477505768,0.09945539966971127,0.11780888705661705,0.0
119 days,1318252.6529420437,1148.1518422848276,914.279669607664,0.10566752557456671,0.09945539966971127,0.11374402819196519,0.0
120 days,1293636.281003392,1137.3813261186383,909.5736962343689,0.10600653517982066,0.09945539966971127,0.11403440183037125,0.0
121 days,1798299.3877546939,1341.0068559685644,1108.2591782393524,0.11617529719827514,0.10257079221751612,0.12537964986799507,0.0
122 days,1971760.8553601615,1404.1940234028066,1163.502219055496,0.11636237710418393,0.10838981438081267,0.12553249180248252,0.0
123 days,2595587.305861122,1611.0826502265866,1301.8690522877441,0.12373044845547929,0.10838981438081267,0.13412958068577993,0.0
146 days,2269827.0874387925,1506.5945331902649,1196.0481162418648,0.13890503953691052,0.10838981438081267,0.15319593611165677,0.0
147 days,2037416.0449196482,1427.380833877087,1064.9380311867167,0.11586368205969874,0.09945539966971127,0.12593271350596077,0.07692307692307693
148 days,2083659.872874062,1443.4887851570104,1087.325968230406,0.11218253457115192,0.10838981438081267,0.12241639192962564,0.15384615384615385
149 days,2122922.2372247865,1457.0251326675138,1121.510603346471,0.11513843550345494,0.10953291378144742,0.1259444260488829,0.15384615384615385
150 days,2221236.672624964,1490.3813849565365,1195.4887809332229,0.11844833385754758,0.10838981438081267,0.1294147235591292,0.15384615384615385
151 days,2514348.5651831026,1585.6697528751383,1307.944827605925,0.1211559492549786,0.10953291378144742,0.13239483753241982,0.15384615384615385
152 days,2365951.917562094,1538.165113881502,1263.85986872484,0.1170483910247338,0.10838981438081267,0.12774831860309538,0.15384615384615385
153 days,2334449.2167720874,1527.8904465870867,1255.8404219149725,0.1131199292102282,0.10151196992347877,0.12329885601327782,0.15384615384615385
177 days,1262078.5188655418,1123.4226804126495,950.7056453414688,0.13441470456311239,0.10151196992347877,0.15192287068470467,0.15384615384615385
178 days,1265505.339501839,1124.9468162992591,939.8696673738273,0.11992589133486391,0.10151196992347877,0.13403645334801517,0.19230769230769232
179 days,1312061.7623728996,1145.4526451900574,998.7574878537746,0.1257034391644211,0.10151196992347877,0.14009578896511907,0.11538461538461539
180 days,1458305.724830641,1207.6032977889058,1079.066429003014,0.13152763627102984,0.10151196992347877,0.14642043081224185,0.07692307692307693
181 days,1584318.4206720006,1258.6971123634155,1131.5143033790287,0.13068409246024892,0.10151196992347877,0.14546432707401225,0.07692307692307693
182 days,1837145.1381232268,1355.4132720772757,1217.1264003251663,0.13095012706096562,0.10579885236271795,0.14576060521982587,0.07692307692307693
183 days,1665266.1727417381,1290.451925777066,1166.7791823322334,0.12752699546265853,0.09990944805533969,0.14201109120734223,0.07692307692307693
207 days,1571495.2363324354,1253.5929308720736,1124.6205886428247,0.14582384708880716,0.10579885236271795,0.16498208569523595,0.07692307692307693
208 days,1522574.2573124627,1233.9263581399266,1105.9304675817823,0.15850780190930625,0.115921978545168,0.17940779744489121,0.07692307692307693
209 days,1514493.2936932968,1230.6475099285321,1102.1013138487758,0.14046396187420288,0.10477060566334724,0.15636387221841594,0.11538461538461539
210 days,1532716.2378113533,1238.0291748627546,1128.31572466691,0.14240232238601,0.10579885236271795,0.15822147327978148,0.07692307692307693
211 days,1979654.4789517934,1407.0019470319837,1292.8469399318553,0.1500552341713549,0.115921978545168,0.16688578384821906,0.07692307692307693
212 days,2109758.775847443,1452.5008694825085,1329.5410469579235,0.14799391096604447,0.11332082529595991,0.16455009736981865,0.07692307692307693
