bank_name,card_type,mape_mean,mape_median,mape_min,mape_max,cv_windows,n_capped
HDFC Bank,cc,7.057920944009282,6.8657163661791865,4.1683092317601576,10.394063524050896,67,0
State Bank of India,cc,9.050791294935912,9.178478287594231,4.369113568599785,16.67754074894233,67,0
ICICI Bank,cc,5.731931232826914,4.708522516931001,1.262960583799812,11.330957219049601,9,0
Axis Bank,cc,6.5584025121057135,5.304964304534172,0.9033183118551958,17.315712940564705,17,0
Kotak Mahindra Bank,cc,26.20922230775439,24.174360882278993,9.568571278014442,51.75121325235653,26,0
IndusInd Bank,cc,4.305859036080407,3.9230663900107468,0.9393779894692162,11.59408192266389,17,0
Bank of Baroda,cc,20.916631537480004,21.138204578813397,17.835563153176633,22.871651144612574,44,0
Yes Bank,cc,41.63301029986522,43.729856352288074,13.10239288484938,60.82293156501041,19,0
Canara Bank,cc,25.676500150926746,26.902038757372175,1.818055951736363,34.33000871680238,26,0
HSBC,cc,15.331196620338613,14.773436156794311,9.143507742481031,22.347762867471715,120,0
