bank_name,card_type,mape_mean,mape_median,mape_min,mape_max,cv_windows,n_capped
State Bank of India,dc,5.148518793365932,5.2733917287321725,3.312502541936995,7.1550382460181865,67,0
Bank of Baroda,dc,5.267409072203367,5.604691093520306,3.0588155304796794,6.794357562974862,44,0
Canara Bank,dc,3.752528280539121,3.7528818138900175,1.9482366311402235,5.3258305977977,26,0
HDFC Bank,dc,2.290106307416877,1.8371255734252394,1.0344184720431127,5.680618498987577,9,0
Union Bank of India,dc,3.795573167881768,4.027305638623349,0.9156010410071435,6.53723766419336,26,0
Punjab National Bank,dc,6.123879646426859,6.19988935023456,2.6443091829320013,9.622495033621158,26,0
Axis Bank,dc,5.523209892236019,4.983073509871957,1.2390576193715075,16.401918636440367,9,0
Bank of India,dc,11.222069876023692,11.240261730535797,5.183968089981811,18.390670830585798,67,0
Kotak Mahindra Bank,dc,20.723780284748695,20.970852774133732,6.977007386915826,34.218529720656846,67,0
Indian Bank,dc,9.12290650582695,8.487226743128593,6.135031866188713,14.146897905300602,26,0
ICICI Bank,dc,7.121435826224671,4.896087308495415,2.146060049099464,15.203507727700059,9,0
Paytm Payments Bank,dc,18.52862982858057,15.815731898443467,13.027256876880614,26.74290071041763,3,0
Central Bank of India,dc,9.374987325958422,9.39515129798656,5.345882958152974,12.498495159622589,67,0
India Post Payments Bank,dc,100.0,100.0,100.0,100.0,35,35
Indian Overseas Bank,dc,9.270858355138415,5.541720765383663,3.4495407883064897,31.49875405238975,9,0
UCO Bank,dc,7.2892170203668,6.3365544073193485,4.922900246317194,12.228501711942078,9,0
